,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,5.21024033359012e-06,2.3754159288736445e-08,4.742684950662547e-06,1.2613134773141808e-07,6.837870556738781e-08,6.968898550457304e-10,2.3633166792370305e-07,6.432656964666042e-09,4.7711758165201044e-08,6.914249046257044e-09
1,Rest (+),,,,,,,1.478550044531759e-07,1.1376661213800755e-09,2.0278726892454405e-07,2.3876423715831998e-08,1.1232072664027456e-08,1.1715330816916311e-10,4.067732040741693e-08,1.0047135426393435e-09,9.175715162649815e-09,1.4223890232523028e-09
3,"Benzo(a)pyrene | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 81c4ba39-8a3f-4a43-97b4-401605bbebf5",Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,81c4ba39-8a3f-4a43-97b4-401605bbebf5,5.062385329136944e-06,2.261649316735638e-08,5.236075131749344e-07,7.827669383138313e-08,4.355157153160694e-08,4.155634446556836e-10,8.689208183055596e-08,2.3617243443965376e-09,2.8050663141084166e-08,4.154584636214432e-09
4,"Benzo(a)pyrene | ('air',) | emission | kilogram | biosphere3 | 5e13c2ab-5466-4ff5-816d-702dfdf25f76",Benzo(a)pyrene,"('air',)",emission,CTUh,biosphere3,5e13c2ab-5466-4ff5-816d-702dfdf25f76,,,2.7216829119037648e-06,,,,,2.1511106789414733e-09,4.134549829758287e-09,
5,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air',) | emission | kilogram | biosphere3 | 082903e4-45d8-4078-94cb-736b15279277","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",emission,CTUh,biosphere3,082903e4-45d8-4078-94cb-736b15279277,,,1.294607256659303e-06,,,,,,,
6,"Formaldehyde | ('air',) | emission | kilogram | biosphere3 | a861cfae-a310-4e9d-b9eb-5d555c9a684c",Formaldehyde,"('air',)",emission,CTUh,biosphere3,a861cfae-a310-4e9d-b9eb-5d555c9a684c,,,,7.055297655939925e-09,4.946757678171454e-09,1.1027466299185201e-10,8.95913592126735e-08,,6.350830031708767e-09,7.660872717614815e-10
7,"Formaldehyde | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 20664d0e-24e3-4daa-8c5c-2ade6e0c2723",Formaldehyde,"('air', 'urban air close to ground')",emission,CTUh,biosphere3,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,,,,7.799908628725739e-09,8.648303693581954e-09,5.3898439229031506e-11,1.917090647305671e-08,5.403304384766333e-10,,5.711881150288272e-10
8,"Fluoranthene | ('water', 'surface water') | emission | kilogram | biosphere3 | 796d4439-8221-41ad-8732-19033339e66e",Fluoranthene,"('water', 'surface water')",emission,CTUh,biosphere3,796d4439-8221-41ad-8732-19033339e66e,,,,9.123023899537246e-09,,,,,,
9,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | f77c5e36-ee47-4437-b757-03139bb1d6d6","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,f77c5e36-ee47-4437-b757-03139bb1d6d6,,,,,,,,3.7477796021205285e-10,,
