,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,7.613784372752779e-06,6.329680847661199e-08,8.232694141585923e-06,1.0850358582080612e-05,2.094759882672076e-07,2.1888203828769083e-08,5.542168885912588e-07,2.2528525826009565e-06,1.034157724490591e-06,1.3444034514736408e-07
1,Rest (+),,,,,,,5.238468342476235e-07,1.0707531569121793e-09,1.0299657030126565e-06,1.7498331945332459e-06,4.451452117292091e-08,2.2126040875556856e-09,9.275670466965842e-08,8.35085079419419e-09,9.283133616543532e-08,2.5184286416135138e-08
3,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUh,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,7.089937538505156e-06,5.374480134997607e-08,5.641897253488006e-06,,9.64577750090571e-08,1.6106891743556572e-08,1.6209123938140076e-07,2.2445017318067623e-06,,8.758210525142477e-08
4,"Chromium III | ('air',) | emission | kilogram | biosphere3 | e142b577-e934-4085-9a07-3983d4d92afb",Chromium III,"('air',)",emission,CTUh,biosphere3,e142b577-e934-4085-9a07-3983d4d92afb,,,,5.251349978704745e-06,,,3.101539927401553e-08,,8.641430412764637e-07,
5,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,,1.3191041050355398e-06,,,4.405729585122786e-08,,,
6,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,1.2080868736301513e-06,,,3.49992730865096e-08,,,
7,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,1.5608311850852603e-06,1.3219844301769264e-06,2.2472595930592018e-08,3.5687079976568293e-09,9.753691178631466e-08,,,2.1673953479804173e-08
8,"Nickel II | ('water', 'ground-') | emission | kilogram | biosphere3 | 56815b4f-6138-4e0b-9fac-c94fd6b102b3",Nickel II,"('water', 'ground-')",emission,CTUh,biosphere3,56815b4f-6138-4e0b-9fac-c94fd6b102b3,,,,,,,,,7.718334704869228e-08,
9,"Chromium III | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5",Chromium III,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,,,,,4.603109615463755e-08,,9.176006454213202e-08,,,
10,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,,8.481253969723752e-09,,,,,,,,
