,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,1.0398178113932162,0.004701124268094985,27.629655470073597,1.701818888924454,0.4318429869064683,0.015790048243018634,1.3314331555104417,0.04976666491424415,0.4896991133282391,0.1707965587780953
1,Rest (+),,,,,,,0.013387179194377152,5.415902664123069e-05,0.06817059825108274,0.007089161201768723,0.004813602653300608,4.232755982640918e-05,0.00964038069269324,0.00033650097343054103,0.003386668729531972,0.001364684084019796
2,Rest (-),,,,,,,-0.0231328072574213,-0.00010557548502241763,-0.041891231596711036,-0.012624865806010552,-0.009748914810739577,-1.4246621514791493e-05,-0.03549183007760817,-0.0012265921227924497,-0.004217939030636637,-0.002314731796240004
3,"Carbon dioxide, from soil or biomass stock | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 78eb1859-abd9-44c6-9ce3-f3b5b33d619c","Carbon dioxide, from soil or biomass stock","('air', 'non-urban air or from high stacks')",emission,kg CO2-Eq,biosphere3,78eb1859-abd9-44c6-9ce3-f3b5b33d619c,1.0495634394562603,0.004752540726476171,27.603376103419226,1.707354593528696,0.43677829906390725,0.015761967304707015,1.3572846048953566,0.05065675606360606,0.4256951899346041,0.1083094129578321
4,"Carbon dioxide, from soil or biomass stock | ('air',) | emission | kilogram | biosphere3 | e4e9febc-07c1-403d-8d3a-6707bb4d96e6","Carbon dioxide, from soil or biomass stock","('air',)",emission,kg CO2-Eq,biosphere3,e4e9febc-07c1-403d-8d3a-6707bb4d96e6,,,,,,,,,0.06483519369473968,0.06343719353248344
