,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,9.344266681848885e-07,2.2210073079173397e-09,3.2542506691516913e-06,2.2586414479870263e-05,5.123025284268029e-07,3.711617467458169e-09,9.782378584550264e-07,1.1758585025330725e-08,1.8854486521382588e-07,9.315080774370364e-08
1,Rest (+),,,,,,,1.2290945721524052e-07,3.358623294850341e-10,3.2405184483393635e-07,1.93700223007171e-07,3.435639092109246e-08,2.576754136832619e-10,1.3544069799606896e-07,2.0542159499268656e-09,2.3326620557143894e-08,1.1055108704295068e-08
3,"Carbon disulfide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 15f9ebbb-b1b5-4bf7-88c6-d99424f5eced",Carbon disulfide,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,15f9ebbb-b1b5-4bf7-88c6-d99424f5eced,4.841780771945961e-07,3.0055736041779944e-10,1.3247235939090226e-06,2.2392714256863092e-05,1.1326027650737377e-07,2.8728782763630336e-09,6.179648491183906e-07,2.2781501041314496e-09,6.158126758179377e-08,8.209569903940857e-08
4,"Methane, fossil | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 70ef743b-3ed5-4a6d-b192-fb6d62378555","Methane, fossil","('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,70ef743b-3ed5-4a6d-b192-fb6d62378555,2.4376523915571674e-07,1.0785863173860832e-09,1.6054752304087324e-06,,4.3689076889466564e-08,3.7067169159520013e-10,1.6269541856417526e-07,5.262841023120326e-09,2.5239473222993368e-08,
5,"Methane, fossil | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 5f7aad3d-566c-4d0d-ad59-e765f971aa0f","Methane, fossil","('air', 'urban air close to ground')",emission,CTUh,biosphere3,5f7aad3d-566c-4d0d-ad59-e765f971aa0f,,,,,1.9803776684640555e-07,,,,,
6,"NMVOC, non-methane volatile organic compounds | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 175baa64-d985-4c5e-84ef-67cc3a1cf952","NMVOC, non-methane volatile organic compounds","('air', 'urban air close to ground')",emission,CTUh,biosphere3,175baa64-d985-4c5e-84ef-67cc3a1cf952,,,,,8.817291922295564e-08,,,,,
7,"Monoethanolamine | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | b9f74a13-1d9c-444e-ba61-1ea1abac70b7",Monoethanolamine,"('air', 'urban air close to ground')",emission,CTUh,biosphere3,b9f74a13-1d9c-444e-ba61-1ea1abac70b7,,,,,,,6.213689277639142e-08,,4.891322181815053e-08,
8,"Acrolein | ('air',) | emission | kilogram | biosphere3 | d896ced7-a107-4017-b284-d95a8ef3e735",Acrolein,"('air',)",emission,CTUh,biosphere3,d896ced7-a107-4017-b284-d95a8ef3e735,8.357389461933521e-08,3.608998505795002e-10,,,3.478609803950885e-08,2.1039208581667363e-10,,2.1633779481520833e-09,2.9484282033744322e-08,
9,"NMVOC, non-methane volatile organic compounds | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 33b38ccb-593b-4b11-b965-10d747ba3556","NMVOC, non-methane volatile organic compounds","('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,33b38ccb-593b-4b11-b965-10d747ba3556,,1.4510145004892325e-10,,,,,,,,
