,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,504.40963823280254,1.4556016188828114,1241.8304104298138,129.1819926758649,0.9409521277050942
1,Rest (+),,,,,,,149.48452938312806,0.4624227489003472,267.85081541327077,48.36674378867404,0.23808701534917365
3,"Oils, unspecified | ('water',) | emission | kilogram | biosphere3 | 6da0e891-3648-43a5-b0cf-f1872c57db8d","Oils, unspecified","('water',)",emission,CTUe,biosphere3,6da0e891-3648-43a5-b0cf-f1872c57db8d,,,621.7883138294601,,
4,"PAH, polycyclic aromatic hydrocarbons | ('water', 'surface water') | emission | kilogram | biosphere3 | 16167d62-361c-4ed9-bfeb-3ad4545e794c","PAH, polycyclic aromatic hydrocarbons","('water', 'surface water')",emission,CTUe,biosphere3,16167d62-361c-4ed9-bfeb-3ad4545e794c,163.6256177312668,,,,
5,"Pyrene | ('water', 'surface water') | emission | kilogram | biosphere3 | b397980f-62a4-4b0f-a05c-7c5c0e634aec",Pyrene,"('water', 'surface water')",emission,CTUe,biosphere3,b397980f-62a4-4b0f-a05c-7c5c0e634aec,34.39763024485678,0.17270100498757182,282.9223408249592,15.99485187825528,0.35395117824116323
6,"Chlorpyrifos | ('soil', 'agricultural') | emission | kilogram | biosphere3 | 736923cd-6eb7-4896-98f8-46951d56da97",Chlorpyrifos,"('soil', 'agricultural')",emission,CTUe,biosphere3,736923cd-6eb7-4896-98f8-46951d56da97,99.13968455635805,0.3993221051039319,,31.204901956295586,0.14717766177044314
7,"Fluoranthene | ('water', 'surface water') | emission | kilogram | biosphere3 | 796d4439-8221-41ad-8732-19033339e66e",Fluoranthene,"('water', 'surface water')",emission,CTUe,biosphere3,796d4439-8221-41ad-8732-19033339e66e,,,69.26894036212398,,0.08665919766249175
8,"Chlorpyrifos | ('water', 'ground-') | emission | kilogram | biosphere3 | 1cc0be91-3df0-5d9b-ba9e-c0bb9ce30b0d",Chlorpyrifos,"('water', 'ground-')",emission,CTUe,biosphere3,1cc0be91-3df0-5d9b-ba9e-c0bb9ce30b0d,31.751636042834754,0.12937880744565164,,10.113770820757255,0.047714120609320725
9,"Chlorpyrifos | ('water',) | emission | kilogram | biosphere3 | d05f3321-5794-5b5e-b05e-831412c615f9",Chlorpyrifos,"('water',)",emission,CTUe,biosphere3,d05f3321-5794-5b5e-b05e-831412c615f9,26.010540274358206,0.10598548907631392,,8.285073639834687,
10,"Phenol | ('water', 'surface water') | emission | kilogram | biosphere3 | 64836dd0-8b0f-41ba-a7d3-be54358fc4b3",Phenol,"('water', 'surface water')",emission,CTUe,biosphere3,64836dd0-8b0f-41ba-a7d3-be54358fc4b3,,,,7.3749875325736465,
11,"Chlorpyrifos | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 0822b867-9dca-4d5a-93c3-319d39b592cd",Chlorpyrifos,"('air', 'non-urban air or from high stacks')",emission,CTUe,biosphere3,0822b867-9dca-4d5a-93c3-319d39b592cd,,0.10032463905037194,,7.8416630594743815,
12,"Hydrocarbons, aromatic | ('water', 'surface water') | emission | kilogram | biosphere3 | c308f812-7e5a-483a-ac1f-1f5742a53784","Hydrocarbons, aromatic","('water', 'surface water')",emission,CTUe,biosphere3,c308f812-7e5a-483a-ac1f-1f5742a53784,,0.08546682431862342,,,0.06736295407250185
