,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,7.1235028032952145e-06,5.425440726566741e-08,3.3878424812857134e-06,1.5879631368643162e-07,1.652782738090729e-08
1,Rest (+),,,,,,,4.901142729513737e-07,9.177884202104385e-10,4.2384200152750954e-07,3.374487895366584e-08,1.670741862031845e-09
3,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUh,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,6.63338853034384e-06,4.606697258569376e-08,2.321701603593622e-06,7.312121653912396e-08,1.2162346826767225e-08
4,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,6.42298876164581e-07,1.7035677560287496e-08,2.6947386921082194e-09
5,"Chromium III | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5",Chromium III,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,,,,3.489454063335432e-08,
6,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,,7.269646259763213e-09,,,
