,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,4.874732433321057e-06,2.0360707961774087e-08,1.9516660372510587e-06,5.1835470349471406e-08,5.262229517692256e-10
1,Rest (+),,,,,,,1.383340382573295e-07,9.75142389754342e-10,8.344914951427246e-08,8.514635729182103e-09,8.84627020869193e-11
3,"Benzo(a)pyrene | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 81c4ba39-8a3f-4a43-97b4-401605bbebf5",Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,81c4ba39-8a3f-4a43-97b4-401605bbebf5,4.736398395063729e-06,1.938556557201974e-08,2.1547014211227493e-07,3.301490099976654e-08,3.137928051481696e-10
4,"Benzo(a)pyrene | ('air',) | emission | kilogram | biosphere3 | 5e13c2ab-5466-4ff5-816d-702dfdf25f76",Benzo(a)pyrene,"('air',)",emission,CTUh,biosphere3,5e13c2ab-5466-4ff5-816d-702dfdf25f76,,,1.1200018889273028e-06,,
5,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air',) | emission | kilogram | biosphere3 | 082903e4-45d8-4078-94cb-736b15279277","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",emission,CTUh,biosphere3,082903e4-45d8-4078-94cb-736b15279277,,,5.327448566972085e-07,,
6,"Formaldehyde | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 20664d0e-24e3-4daa-8c5c-2ade6e0c2723",Formaldehyde,"('air', 'urban air close to ground')",emission,CTUh,biosphere3,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,,,,6.555972154812129e-09,4.069882145865649e-11
7,"Formaldehyde | ('air',) | emission | kilogram | biosphere3 | a861cfae-a310-4e9d-b9eb-5d555c9a684c",Formaldehyde,"('air',)",emission,CTUh,biosphere3,a861cfae-a310-4e9d-b9eb-5d555c9a684c,,,,3.749961465710619e-09,8.326862307548018e-11
