,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,0.014483397419571921,3.161607281195156,19.076240677006616,1.0329193035923683,0.00957169025922104
1,Rest (+),,,,,,,0.0007540085647923262,0.06740016810854854,1.4190898809780101,0.06288382326561004,0.0009395167891502066
3,"Sulfur dioxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 78c3efe4-421c-4d30-82e4-b97ac5124993",Sulfur dioxide,"('air', 'non-urban air or from high stacks')",emission,kg PM2.5-Eq,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,0.002658217551347118,0.5407865107056322,5.2009071894703895,0.22468179867046462,0.0030760594893245036
4,"Particulate Matter, < 2.5 um | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 66f50b33-fd62-4fdd-a373-c5b0de7de00d","Particulate Matter, < 2.5 um","('air', 'non-urban air or from high stacks')",emission,kg PM2.5-Eq,biosphere3,66f50b33-fd62-4fdd-a373-c5b0de7de00d,0.005686065702516261,1.290293921912968,4.121948080107793,0.174226244666429,0.0014261641335758912
5,"Sulfur dioxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 8c52f40c-69b7-4538-8923-b371523c71f5",Sulfur dioxide,"('air', 'urban air close to ground')",emission,kg PM2.5-Eq,biosphere3,8c52f40c-69b7-4538-8923-b371523c71f5,,0.25808372778477745,2.3224629791463633,0.321576485950163,
6,"Sulfur dioxide | ('air',) | emission | kilogram | biosphere3 | fd7aa71c-508c-480d-81a6-8052aad92646",Sulfur dioxide,"('air',)",emission,kg PM2.5-Eq,biosphere3,fd7aa71c-508c-480d-81a6-8052aad92646,0.0009021795911871597,0.16804160978106975,2.4091919095237326,,0.0016233261285149806
7,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg PM2.5-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,0.0009607142182765189,0.1797253887745567,1.9898040716210483,0.06230337232675353,0.0007192545975812155
8,"Particulate Matter, < 2.5 um | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 230d8a0a-517c-43fe-8357-1818dd12997a","Particulate Matter, < 2.5 um","('air', 'urban air close to ground')",emission,kg PM2.5-Eq,biosphere3,230d8a0a-517c-43fe-8357-1818dd12997a,0.0009045943482685604,0.20018772580157143,1.612836566159274,0.07311762698856407,
9,"Particulate Matter, < 2.5 um | ('air',) | emission | kilogram | biosphere3 | 21e46cb8-6233-4c99-bac3-c41d2ab99498","Particulate Matter, < 2.5 um","('air',)",emission,kg PM2.5-Eq,biosphere3,21e46cb8-6233-4c99-bac3-c41d2ab99498,0.0016292391253175376,0.2641211870107653,,,
10,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg PM2.5-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,,,,0.11412995172438375,
11,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg PM2.5-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,0.000988378317866443,0.19296704131526687,,,0.0017873691210742407
