,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,0.4570759776141944,147.3936865993699,798.9367629058465,22.690653374380574,4.041687265097416
1,Rest (+),,,,,,,0.0297686733875156,12.611592214315095,45.570885257848545,3.7679466993445594,0.37978060026838456
2,Rest (-),,,,,,,-1.2260995597312975e-08,-2.999310748768312e-06,-0.00014285987943979153,-3.919246321833602e-07,-2.1992284661583647e-08
3,"Copper ion | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 40229ebf-9346-4f20-910a-f8ea3bd88d44",Copper ion,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,40229ebf-9346-4f20-910a-f8ea3bd88d44,0.04218449548239296,31.55065455173137,577.048815505022,12.030629990304565,0.7343039700287914
4,"Vanadium V | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 41dbbe1f-06e1-4a34-8497-5986be8f9e51",Vanadium V,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,41dbbe1f-06e1-4a34-8497-5986be8f9e51,0.060418334532168556,48.30234644664292,94.68872193972611,,
5,"Zinc II | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | bdce3a7c-e008-4391-be26-285f71a02453",Zinc II,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,bdce3a7c-e008-4391-be26-285f71a02453,0.07758296033606792,20.860585116594443,81.62848306312937,6.892077076656085,2.9276027167925243
6,"Chromium VI | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | ef475b50-9cd0-4e7c-9c59-07868fe16e91",Chromium VI,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,ef475b50-9cd0-4e7c-9c59-07868fe16e91,0.18804019592881574,20.874555948350498,,,
7,"Nickel II | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 9f69cb8e-51fe-447b-a1ac-4da74de8ebe4",Nickel II,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,9f69cb8e-51fe-447b-a1ac-4da74de8ebe4,,13.193955321046356,,,
8,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,"kg 1,4-DCB-Eq",biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,0.05908133020822932,,,,
