,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,1.2163093641667564e-06,0.0002663306915384235,0.0019546574910593558,0.00014711980146702843,2.486931025737974e-06
1,Rest (+),,,,,,,4.141717783975872e-08,7.923827056054893e-06,0.00010645365375391543,5.420377504510384e-06,7.076560567598469e-08
3,"Dinitrogen monoxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | afd6d670-bbb0-4625-9730-04088a5b035e",Dinitrogen monoxide,"('air', 'non-urban air or from high stacks')",emission,kg CFC-11-Eq,biosphere3,afd6d670-bbb0-4625-9730-04088a5b035e,4.766820871836453e-07,9.154335515512983e-05,0.001017778221449713,3.120746163954189e-05,5.547720035463059e-07
4,"Dinitrogen monoxide | ('air',) | emission | kilogram | biosphere3 | 20185046-64bb-4c09-a8e7-e8a9e144ca98",Dinitrogen monoxide,"('air',)",emission,kg CFC-11-Eq,biosphere3,20185046-64bb-4c09-a8e7-e8a9e144ca98,3.953546120229517e-07,7.875611768657075e-05,0.000529932111592034,6.585520006732966e-05,1.353139890778468e-06
5,"Dinitrogen monoxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 6dc1b46f-ee89-4495-95c4-b8a637bcd6cb",Dinitrogen monoxide,"('air', 'urban air close to ground')",emission,kg CFC-11-Eq,biosphere3,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,3.0285548712040053e-07,8.810739164066799e-05,0.00030049350426369307,4.463676225564651e-05,5.082535257372153e-07
