,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,2.7198944941692638,496.6516325035047,157.13208914747472,7.837489656032742,0.45305680691475986
1,Rest (+),,,,,,,0.10919053528056732,11.10753872854491,10.195516855628739,1.7832530709085033,0.020949214130116633
3,"Cerium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d",Cerium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d,2.3824037228964112,404.46867300281406,39.697421472946516,6.05423658512424,0.030358881399331912
4,"Aluminium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a45cd247-3532-4e27-bddc-b519fdb5e08f",Aluminium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,a45cd247-3532-4e27-bddc-b519fdb5e08f,,,92.93517365246124,,
5,"Nickel | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 974213ef-1ba0-40e5-bc7b-52ef099e9e09",Nickel,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,974213ef-1ba0-40e5-bc7b-52ef099e9e09,,33.9562042639824,,,
6,"Iron | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 8ce3ff02-7a1e-48e3-881e-3248b944f28a",Iron,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,8ce3ff02-7a1e-48e3-881e-3248b944f28a,0.22830023599228547,47.11921650816339,,,
7,"Gallium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 0878c1c6-4c1d-4f90-a2de-a9383855d5c6",Gallium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,0878c1c6-4c1d-4f90-a2de-a9383855d5c6,,,14.303977166438175,,
8,"Zinc | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | be73218b-18af-492e-96e6-addd309d1e32",Zinc,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,be73218b-18af-492e-96e6-addd309d1e32,,,,,0.13680253167610287
9,"Lead | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | fbcb9c7a-eea7-4694-ba6c-568e01d28883",Lead,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,fbcb9c7a-eea7-4694-ba6c-568e01d28883,,,,,0.09457600888574498
10,"Silver | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 361a64cb-ab76-4a72-9ea1-c07d6a20c124",Silver,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,361a64cb-ab76-4a72-9ea1-c07d6a20c124,,,,,0.06939514380880044
11,"Magnesium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 9e5823ad-9d9b-4b98-b627-e39611b6a8bd",Magnesium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,9e5823ad-9d9b-4b98-b627-e39611b6a8bd,,,,,0.06815028873108922
12,"Copper | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a9ac40a0-9bea-4c48-afa7-66aa6eb90624",Copper,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,a9ac40a0-9bea-4c48-afa7-66aa6eb90624,,,,,0.03282473828357373
