,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,0.002949931407635397,0.799982538438037,3.0574251420841936,0.16596657272047863,0.005104031897437052
1,Rest (+),,,,,,,2.2651778345234887e-05,0.03638955763279894,0.004304331863791422,0.001775358319284187,7.95521641548582e-06
3,"Phosphate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 490b267b-f429-4d9a-ac79-224e37fb4d58",Phosphate,"('water', 'ground-, long-term')",emission,kg P-Eq,biosphere3,490b267b-f429-4d9a-ac79-224e37fb4d58,0.0025912455769055826,0.6947633322681802,2.7556943166456556,0.14670891718305337,0.0046749687759434074
4,"Phosphate | ('water', 'ground-') | emission | kilogram | biosphere3 | 329fc7d8-4011-4327-84e4-34ff76f0e42d",Phosphate,"('water', 'ground-')",emission,kg P-Eq,biosphere3,329fc7d8-4011-4327-84e4-34ff76f0e42d,0.00033603405238457945,0.06882964853705786,0.29742649357474593,0.017482297218141072,0.00042110790507815835
