,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,21.25835399810501,2364.017767181587,1883.890323693898,42.07653410353233,1.879579885437799
1,Rest (+),,,,,,,0.027589715712505125,11.778583097639967,40.68306322625199,1.9763826281474266,0.12902838903944902
3,"Chromium VI | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | ef475b50-9cd0-4e7c-9c59-07868fe16e91",Chromium VI,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,ef475b50-9cd0-4e7c-9c59-07868fe16e91,16.15495476167314,1793.3798959839291,1430.947177774623,32.0551047004414,0.41704958841263456
4,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,"kg 1,4-DCB-Eq",biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,5.075809520719361,558.8592881000186,412.26008269302287,8.045046774943511,1.3335019079857156
