,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,1.9721516676510575,384.96729660525835,2012.7809441734075,693.2435869098084,1.182045659661067
1,Rest (+),,,,,,,0.0724963368167717,14.435888347420132,104.36601898735762,5.033552789245505,0.007453649730881251
3,"Coal, hard, unspecified | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | b6d0042d-0ef8-49ed-9162-a07ff1ccf750","Coal, hard, unspecified","('natural resource', 'in ground')",natural resource,kg oil-Eq,biosphere3,b6d0042d-0ef8-49ed-9162-a07ff1ccf750,1.2841086728606297,254.39347227009745,1301.3692861564252,55.56774413365866,0.3283575959819647
4,"Oil, crude | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 88d06db9-59a1-4719-9174-afeb1fa4026a","Oil, crude","('natural resource', 'in ground')",natural resource,kg oil-Eq,biosphere3,88d06db9-59a1-4719-9174-afeb1fa4026a,0.30387948181324903,66.30964877222374,302.7847862902014,405.8876813022984,0.24266383092638824
5,"Gas, natural | ('natural resource', 'in ground') | natural resource | standard cubic meter | biosphere3 | 7c337428-fb1b-45c7-bbb2-2ee4d29e17ba","Gas, natural","('natural resource', 'in ground')",natural resource,kg oil-Eq,biosphere3,7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,0.311667176160407,49.82828721551706,304.2608527394232,226.75460868460576,0.4645242427005143
6,"Coal, brown | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 024c9722-1e88-412b-8c4b-10c532be8dca","Coal, brown","('natural resource', 'in ground')",natural resource,kg oil-Eq,biosphere3,024c9722-1e88-412b-8c4b-10c532be8dca,,,,,0.1390463403213185
