,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,0.7623791116394316,0.0023463646366091214,3.1431307719652875,1.5250754423821946,0.14947477816044566,0.0046312180055378795,0.5952710274498487,0.018110328343724277,0.5138671466439353,0.0452960804759766
1,Rest (+),,,,,,,0.03462262451819387,1.7846749673764654e-05,0.004197394593719039,0.0160285033985319,0.0015834179734134646,7.000276462757263e-06,0.012047314730772252,2.5415678143663606e-05,0.0030990787236669926,0.0021397808940733787
3,"Phosphate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 490b267b-f429-4d9a-ac79-224e37fb4d58",Phosphate,"('water', 'ground-, long-term')",emission,kg P-Eq,biosphere3,490b267b-f429-4d9a-ac79-224e37fb4d58,0.6621571108981935,0.0020612180725385317,2.8331472634152832,1.4246523360512873,0.13214459368546205,0.0042421012966893865,0.382519524054767,0.01641259841144079,0.4713150893122964,0.04315629958190322
4,"Phosphorus | ('water',) | emission | kilogram | biosphere3 | 2d4b8ec1-8d53-4e62-8a11-ebc45909b02e",Phosphorus,"('water',)",emission,kg P-Eq,biosphere3,2d4b8ec1-8d53-4e62-8a11-ebc45909b02e,,,,,,,0.16157108163285663,,,
5,"Phosphate | ('water', 'ground-') | emission | kilogram | biosphere3 | 329fc7d8-4011-4327-84e4-34ff76f0e42d",Phosphate,"('water', 'ground-')",emission,kg P-Eq,biosphere3,329fc7d8-4011-4327-84e4-34ff76f0e42d,0.06559937622304435,0.0002672998143968247,0.30578611395628474,0.08439460293237547,0.015746766501570152,0.0003821164323857361,0.03913310703145267,0.0016723142541398175,0.03945297860797196,
