,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,2.7330801739798273e-05,1.2140508121571202e-07,9.634453597031476e-05,9.062028681438284e-06,4.805111959751746e-06,6.297055333965505e-08,5.571548590063253e-05,2.354861915446243e-07,3.3920469315770814e-06,9.045346441788838e-07
1,Rest (+),,,,,,,1.914444725630832e-06,8.3676217519668e-09,1.217877173703489e-05,1.0002866152310153e-06,6.402972481565662e-07,6.04097777680668e-09,4.0108056618647e-06,3.202731159423079e-08,3.672619071938967e-07,6.04748219501261e-08
3,"Methane, tetrachloro-, R-10 | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 5c97dd6c-aaa5-4477-aaf8-dbd0674499c4","Methane, tetrachloro-, R-10","('air', 'urban air close to ground')",emission,kg CFC-11-Eq,biosphere3,5c97dd6c-aaa5-4477-aaf8-dbd0674499c4,,,5.1415280104993936e-05,3.0577165708432015e-06,1.082159403863594e-06,1.504286735823053e-08,4.489748264827282e-05,,7.646833678904624e-07,5.583237359255219e-07
4,"Methane, chlorodifluoro-, HCFC-22 | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 56b7d3b6-83d7-42b0-a65b-5ad23e29db47","Methane, chlorodifluoro-, HCFC-22","('air', 'non-urban air or from high stacks')",emission,kg CFC-11-Eq,biosphere3,56b7d3b6-83d7-42b0-a65b-5ad23e29db47,1.981422882863998e-05,8.851954870377425e-08,,,,,,,,
5,"Methane, bromotrifluoro-, Halon 1301 | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 82957257-07f3-4536-ac8b-175cb2353c75","Methane, bromotrifluoro-, Halon 1301","('air', 'non-urban air or from high stacks')",emission,kg CFC-11-Eq,biosphere3,82957257-07f3-4536-ac8b-175cb2353c75,5.60212818552746e-06,2.4517910759970963e-08,3.275048412828594e-05,4.300024515599374e-06,2.345021740904415e-06,3.714113714667874e-08,6.807197590495007e-06,1.75401857136045e-07,2.2601016564927214e-06,2.857360863032358e-07
6,"Methane, bromo-, Halon 1001 | ('air',) | emission | kilogram | biosphere3 | 8c283de2-50d3-40c8-8bff-1e172c3398f8","Methane, bromo-, Halon 1001","('air',)",emission,kg CFC-11-Eq,biosphere3,8c283de2-50d3-40c8-8bff-1e172c3398f8,,,,7.040009797646945e-07,,,,1.210436420497575e-08,,
7,"Methane, dichlorodifluoro-, CFC-12 | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 31a3e44c-4098-461e-aba2-f79540e05087","Methane, dichlorodifluoro-, CFC-12","('air', 'urban air close to ground')",emission,kg CFC-11-Eq,biosphere3,31a3e44c-4098-461e-aba2-f79540e05087,,,,,4.2754524902390217e-07,,,,,
8,"Methane, tetrachloro-, R-10 | ('air',) | emission | kilogram | biosphere3 | 86d12e70-0c64-4ecf-ba52-114fa0c5d402","Methane, tetrachloro-, R-10","('air',)",emission,kg CFC-11-Eq,biosphere3,86d12e70-0c64-4ecf-ba52-114fa0c5d402,,,,,3.1008831780326964e-07,,,,,
9,"Methane, bromochlorodifluoro-, Halon 1211 | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 494eb62d-3e16-4a81-b344-6d6dfd9fd4e2","Methane, bromochlorodifluoro-, Halon 1211","('air', 'non-urban air or from high stacks')",emission,kg CFC-11-Eq,biosphere3,494eb62d-3e16-4a81-b344-6d6dfd9fd4e2,,,,,,4.745571057939104e-09,,1.5952658609372785e-08,,
