,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,523.7435749618347,1.1918270105156412,2425.546251604216,2275.0025683342806,322.97848811126636,5.306310640190272,565.6098095095768,8.124070290078508,382.25308754458416,124.78522175410735
1,Rest (+),,,,,,,10.796387162889232,0.032929040659842146,110.85112938313841,0.6363580607981021,5.29706354656571,0.014549515094290477,12.245321603991329,0.3993518526608,0.11228891758457848,0.8935363692397686
3,"Water | ('air',) | emission | cubic meter | biosphere3 | 075e433b-4be4-448e-9510-9a5029c1ce94",Water,"('air',)",emission,m3 world eq. deprived,biosphere3,075e433b-4be4-448e-9510-9a5029c1ce94,512.9471877989455,1.158897969855799,2314.6951222210773,2138.7689243920295,317.68142456470065,4.9900993363959865,553.3644879055854,7.724718437417707,362.969901142742,123.89168538486759
4,"Water | ('air', 'non-urban air or from high stacks') | emission | cubic meter | biosphere3 | 09872080-d143-4fb1-a3a5-647b077107ff",Water,"('air', 'non-urban air or from high stacks')",emission,m3 world eq. deprived,biosphere3,09872080-d143-4fb1-a3a5-647b077107ff,,,,135.59728588145305,,0.30166178869999505,,,19.170897484257576,
