,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,1.8069547689123264,0.006429859501840967,10.574976879486316,1.3461910912585262,0.7046984584571103,0.009300574741982802,3.1194720443941057,0.06870574069763696,0.530318014851169,0.044595733111886755
1,Rest (+),,,,,,,0.10323188573222564,0.0004924288602992637,0.15335226310607908,0.16723934496635984,0.04584482879913976,0.0007351679383064448,0.1417812127711482,0.0038433093452750894,0.06257009950605802,0.004688115988415113
3,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg N-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,0.6057459323179942,0.0027025049802912944,7.234447024203762,0.2199078008434391,0.19845468673471534,0.002308032307805867,0.8665295555991503,0.04033049008874395,0.081664361133087,0.015572252191041844
4,"Ammonium | ('water',) | emission | kilogram | biosphere3 | fb005c47-7b90-41f3-a5ca-f0eb11db354a",Ammonium,"('water',)",emission,kg N-Eq,biosphere3,fb005c47-7b90-41f3-a5ca-f0eb11db354a,,,,,,,1.5283133502289428,,,
5,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg N-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,0.6503755598758728,0.0027803245498310963,1.296438553855217,0.8081166928343441,0.09686125674916608,0.0057355291037233976,0.23908698859687494,0.013553181990596554,0.3573969971775122,0.020176598107843783
6,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg N-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,0.1527080889564034,,1.2489097859366325,0.06749114307681071,0.3635376861740892,,0.1588158365188275,0.010978759273021353,,0.004158766824586022
7,"Nitrate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | b61057a3-a0bc-4158-882e-b819c4797419",Nitrate,"('water', 'ground-, long-term')",emission,kg N-Eq,biosphere3,b61057a3-a0bc-4158-882e-b819c4797419,0.1094728963858951,0.00045460111141931313,0.6418292523846238,,,0.0005218453921470946,0.18494510067916123,,,
8,"Nitrogen | ('water', 'surface water') | emission | kilogram | biosphere3 | ae70ca6c-807a-482b-9ddc-e449b4893fe3",Nitrogen,"('water', 'surface water')",emission,kg N-Eq,biosphere3,ae70ca6c-807a-482b-9ddc-e449b4893fe3,0.18542040564393525,,,0.0834361095375724,,,,,,
9,"Ammonium | ('water', 'surface water') | emission | kilogram | biosphere3 | 13331e67-6006-48c4-bdb4-340c12010036",Ammonium,"('water', 'surface water')",emission,kg N-Eq,biosphere3,13331e67-6006-48c4-bdb4-340c12010036,,,,,,,,,0.028686557034511905,
