,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,0.00017116878417983248,0.11249315785428163,0.09750540569690588,0.011327872419798164,0.0002270431389746997
1,Rest (+),,,,,,,1.6845423883005362e-05,0.009053013597711476,0.008923584212575192,0.0017753862259376942,6.293289661919808e-05
3,"Nitrate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | b61057a3-a0bc-4158-882e-b819c4797419",Nitrate,"('water', 'ground-, long-term')",emission,kg N-Eq,biosphere3,b61057a3-a0bc-4158-882e-b819c4797419,0.00011569053085501019,0.030409812706369478,0.0784178346106606,0.006063295634131158,0.00011699346600542713
4,"Nitrogen | ('water', 'surface water') | emission | kilogram | biosphere3 | ae70ca6c-807a-482b-9ddc-e449b4893fe3",Nitrogen,"('water', 'surface water')",emission,kg N-Eq,biosphere3,ae70ca6c-807a-482b-9ddc-e449b4893fe3,2.077881485134862e-05,0.051523693646591914,,0.0014894961593596892,
5,"Nitrate | ('water', 'surface water') | emission | kilogram | biosphere3 | 7ce56135-2ca5-4fba-ad52-d62a34bfeb35",Nitrate,"('water', 'surface water')",emission,kg N-Eq,biosphere3,7ce56135-2ca5-4fba-ad52-d62a34bfeb35,8.974338160077676e-06,0.02150663790360874,0.005260802085152763,0.0007558868897463799,1.853387303345777e-05
6,"Ammonium | ('water', 'ocean') | emission | kilogram | biosphere3 | bc069d24-fbbd-4c05-8b6e-4089dc8249ae",Ammonium,"('water', 'ocean')",emission,kg N-Eq,biosphere3,bc069d24-fbbd-4c05-8b6e-4089dc8249ae,,,0.004903184788517327,0.000603482372852071,
7,"Ammonium | ('water', 'surface water') | emission | kilogram | biosphere3 | 13331e67-6006-48c4-bdb4-340c12010036",Ammonium,"('water', 'surface water')",emission,kg N-Eq,biosphere3,13331e67-6006-48c4-bdb4-340c12010036,8.879676430390622e-06,,,0.000640325137771172,2.8582903316616713e-05
