,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,0.023785005608076535,11.40902570974113,23.239544581241383,5.700547775575804,0.09329000983558647
1,Rest (+),,,,,,,0.0006571569614151201,0.2351842859794484,1.06208230887232,0.09349280193254206,0.00025579437358397294
3,"Water | ('air',) | emission | cubic meter | biosphere3 | 075e433b-4be4-448e-9510-9a5029c1ce94",Water,"('air',)",emission,cubic meter,biosphere3,075e433b-4be4-448e-9510-9a5029c1ce94,0.023127848646661415,11.173841423761681,22.177462272369063,5.607054973643261,0.08773071305833734
4,"Water | ('air', 'non-urban air or from high stacks') | emission | cubic meter | biosphere3 | 09872080-d143-4fb1-a3a5-647b077107ff",Water,"('air', 'non-urban air or from high stacks')",emission,cubic meter,biosphere3,09872080-d143-4fb1-a3a5-647b077107ff,,,,,0.005303502403665162
