,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,1.8544735187517702,442.8626470338114,66.47896079316229,5.351506254240273,0.3104278121452985
1,Rest (+),,,,,,,0.07444809223675009,9.904556194767451,4.3134879004583055,1.2176207409108892,0.014354091163228055
3,"Cerium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d",Cerium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,4057f8b4-f20a-59c9-9bb7-fdeaf5ad106d,1.6243661747020979,360.66340155846626,16.79506293086197,4.133885513329383,0.020801455773616317
4,"Aluminium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a45cd247-3532-4e27-bddc-b519fdb5e08f",Aluminium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,a45cd247-3532-4e27-bddc-b519fdb5e08f,,,39.31872731450278,,
5,"Nickel | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 974213ef-1ba0-40e5-bc7b-52ef099e9e09",Nickel,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,974213ef-1ba0-40e5-bc7b-52ef099e9e09,,30.27863701517565,,,
6,"Iron | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 8ce3ff02-7a1e-48e3-881e-3248b944f28a",Iron,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,8ce3ff02-7a1e-48e3-881e-3248b944f28a,0.15565925181292187,42.01605226540203,,,
7,"Gallium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 0878c1c6-4c1d-4f90-a2de-a9383855d5c6",Gallium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,0878c1c6-4c1d-4f90-a2de-a9383855d5c6,,,6.0516826473392245,,
8,"Zinc | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | be73218b-18af-492e-96e6-addd309d1e32",Zinc,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,be73218b-18af-492e-96e6-addd309d1e32,,,,,0.09373506800029274
9,"Lead | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | fbcb9c7a-eea7-4694-ba6c-568e01d28883",Lead,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,fbcb9c7a-eea7-4694-ba6c-568e01d28883,,,,,0.06480208016245491
10,"Silver | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 361a64cb-ab76-4a72-9ea1-c07d6a20c124",Silver,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,361a64cb-ab76-4a72-9ea1-c07d6a20c124,,,,,0.0475485244615855
11,"Magnesium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 9e5823ad-9d9b-4b98-b627-e39611b6a8bd",Magnesium,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,9e5823ad-9d9b-4b98-b627-e39611b6a8bd,,,,,0.046695568204635225
12,"Copper | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a9ac40a0-9bea-4c48-afa7-66aa6eb90624",Copper,"('natural resource', 'in ground')",natural resource,kg Cu-Eq,biosphere3,a9ac40a0-9bea-4c48-afa7-66aa6eb90624,,,,,0.022491024379485722
