,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,0.009875043695162667,2.819194940271494,8.07071720950279,0.7052863041478152,0.006558380362799604
1,Rest (+),,,,,,,0.0005140967487220396,0.06010051091267732,0.6003841804137746,0.04293762266562251,0.0006437429851584766
3,"Sulfur dioxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 78c3efe4-421c-4d30-82e4-b97ac5124993",Sulfur dioxide,"('air', 'non-urban air or from high stacks')",emission,kg PM2.5-Eq,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,0.0018124210577366699,0.4822175745281269,2.2003838109297784,0.15341469061760532,0.002107670390833457
4,"Particulate Matter, < 2.5 um | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 66f50b33-fd62-4fdd-a373-c5b0de7de00d","Particulate Matter, < 2.5 um","('air', 'non-urban air or from high stacks')",emission,kg PM2.5-Eq,biosphere3,66f50b33-fd62-4fdd-a373-c5b0de7de00d,0.0038768629789883557,1.1505508978790728,1.7439011108148337,0.11896319853736793,0.000977186535968667
5,"Sulfur dioxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 8c52f40c-69b7-4538-8923-b371523c71f5",Sulfur dioxide,"('air', 'urban air close to ground')",emission,kg PM2.5-Eq,biosphere3,8c52f40c-69b7-4538-8923-b371523c71f5,,0.23013242152649843,0.9825804911773066,0.2195752276947844,
6,"Sulfur dioxide | ('air',) | emission | kilogram | biosphere3 | fd7aa71c-508c-480d-81a6-8052aad92646",Sulfur dioxide,"('air',)",emission,kg PM2.5-Eq,biosphere3,fd7aa71c-508c-480d-81a6-8052aad92646,0.0006151224485366994,0.14984215745821028,1.0192735001831164,,0.0011122790139824873
7,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg PM2.5-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,0.0006550324215521714,0.16026054522496577,0.8418401841473659,0.042541285704950325,0.0004928225946389812
8,"Particulate Matter, < 2.5 um | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 230d8a0a-517c-43fe-8357-1818dd12997a","Particulate Matter, < 2.5 um","('air', 'urban air close to ground')",emission,kg PM2.5-Eq,biosphere3,230d8a0a-517c-43fe-8357-1818dd12997a,0.0006167688738194724,0.17850674466782737,0.6823539318366153,0.04992535305272411,
9,"Particulate Matter, < 2.5 um | ('air',) | emission | kilogram | biosphere3 | 21e46cb8-6233-4c99-bac3-c41d2ab99498","Particulate Matter, < 2.5 um","('air',)",emission,kg PM2.5-Eq,biosphere3,21e46cb8-6233-4c99-bac3-c41d2ab99498,0.0011108448581710476,0.23551600430201822,,,
10,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg PM2.5-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,0.0006738943076362107,0.17206808377209723,,,0.0012246788422175354
11,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg PM2.5-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,,,,0.07792892587476077,
