,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test
0,Score,,,,,,,0.0020113168688423145,0.7133418303039541,1.2935260216510034,0.11332342253553258,0.0034972070408364996
1,Rest (+),,,,,,,1.544439432629675e-05,0.032448450307947074,0.0018210634808351056,0.0012122301356855547,5.450796432832604e-06
3,"Phosphate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 490b267b-f429-4d9a-ac79-224e37fb4d58",Phosphate,"('water', 'ground-, long-term')",emission,kg P-Eq,biosphere3,490b267b-f429-4d9a-ac79-224e37fb4d58,0.0017667583478901687,0.6195182060297496,1.1658706724270067,0.10017412747123738,0.0032032193464797435
4,"Phosphate | ('water', 'ground-') | emission | kilogram | biosphere3 | 329fc7d8-4011-4327-84e4-34ff76f0e42d",Phosphate,"('water', 'ground-')",emission,kg P-Eq,biosphere3,329fc7d8-4011-4327-84e4-34ff76f0e42d,0.0002291141266258495,0.06137517396625742,0.12583428574316155,0.011937064928609636,0.00028853689792392336
