,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,5.006304158916768e-06,2.0360707961774087e-08,3.255051397792854e-06,8.46197649337362e-08,5.808513698735095e-08,5.973341614677693e-10,1.4686325078115828e-07,4.085606450531133e-09,2.99367894369889e-08,4.321405653910651e-09
1,Rest (+),,,,,,,1.420677504909945e-07,9.75142389754342e-10,1.3917917593813963e-07,1.601836021441894e-08,9.541223015679249e-09,1.0041712128785429e-10,2.5278049110323357e-08,6.381288716763405e-10,5.7573114746038e-09,8.889931395326895e-10
3,"Benzo(a)pyrene | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 81c4ba39-8a3f-4a43-97b4-401605bbebf5",Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,81c4ba39-8a3f-4a43-97b4-401605bbebf5,4.864236408425773e-06,1.938556557201974e-08,3.593680342222212e-07,5.251474396282667e-08,3.699542097846182e-08,3.5619723827630044e-10,5.3997222280416896e-08,1.5000141106302322e-09,1.76004160885234e-08,2.5966153976340185e-09
4,"Benzo(a)pyrene | ('air',) | emission | kilogram | biosphere3 | 5e13c2ab-5466-4ff5-816d-702dfdf25f76",Benzo(a)pyrene,"('air',)",emission,CTUh,biosphere3,5e13c2ab-5466-4ff5-816d-702dfdf25f76,,,1.8679751783857482e-06,,,,,1.3662459717601253e-09,2.5942273441620633e-09,
5,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air',) | emission | kilogram | biosphere3 | 082903e4-45d8-4078-94cb-736b15279277","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",emission,CTUh,biosphere3,082903e4-45d8-4078-94cb-736b15279277,,,8.885290092467443e-07,,,,,,,
6,"Formaldehyde | ('air',) | emission | kilogram | biosphere3 | a861cfae-a310-4e9d-b9eb-5d555c9a684c",Formaldehyde,"('air',)",emission,CTUh,biosphere3,a861cfae-a310-4e9d-b9eb-5d555c9a684c,,,,4.733300959048306e-09,4.202084479306933e-09,9.452113970730183e-11,5.567463036787564e-08,,3.984834529699621e-09,4.788045448509257e-10
7,"Fluoranthene | ('water', 'surface water') | emission | kilogram | biosphere3 | 796d4439-8221-41ad-8732-19033339e66e",Fluoranthene,"('water', 'surface water')",emission,CTUh,biosphere3,796d4439-8221-41ad-8732-19033339e66e,,,,6.1205097047528374e-09,,,,,,
8,"Formaldehyde | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 20664d0e-24e3-4daa-8c5c-2ade6e0c2723",Formaldehyde,"('air', 'urban air close to ground')",emission,CTUh,biosphere3,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,,,,5.232850092689419e-09,7.346408513902952e-09,4.6198662196312755e-11,1.1913349022542385e-08,3.4318284605948344e-10,,3.5699257189301705e-10
9,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | f77c5e36-ee47-4437-b757-03139bb1d6d6","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,f77c5e36-ee47-4437-b757-03139bb1d6d6,,,,,,,,2.3803465040495256e-10,,
