,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,1503.3324861562535,5.358553221849518,6568.47677021664,277.0184966513135,734.0797079020831,3.3537624701678603,689.3874136646583,25.921106979192786,130.87096425865315,20.45378834257619
1,Rest (+),,,,,,,11.752995866716901,0.2877594582959295,280.0922022861487,14.626600546902694,27.228024465461885,0.06929893666849818,10.153647725709902,0.26707544066633915,6.161296658702398,0.2477494214999254
3,"Carbon dioxide, fossil | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | aa7cac3a-3625-41d4-bc54-33e2cf11ec46","Carbon dioxide, fossil","('air', 'non-urban air or from high stacks')",emission,kg CO2-Eq,biosphere3,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,418.05918294208107,1.7164032337958943,3932.2044365283127,139.5794852326837,159.72086230366435,2.134900580378428,439.95719927605586,11.873213866675748,26.279906402707972,9.952547653205688
4,"Carbon dioxide, fossil | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | f9749677-9c9f-4678-ab55-c607dfdc2cb9","Carbon dioxide, fossil","('air', 'urban air close to ground')",emission,kg CO2-Eq,biosphere3,f9749677-9c9f-4678-ab55-c607dfdc2cb9,154.2884827507243,,999.814390243484,54.090298105337396,407.4856741856126,0.3781161349369798,134.3345890779121,7.664935581511581,11.657752606519045,3.748021932363318
5,"Carbon dioxide, fossil | ('air',) | emission | kilogram | biosphere3 | 349b29d1-3e58-4c66-98b9-9d1a076efd2e","Carbon dioxide, fossil","('air',)",emission,kg CO2-Eq,biosphere3,349b29d1-3e58-4c66-98b9-9d1a076efd2e,770.7270496623565,2.7682290372784677,657.7371559700235,44.31197529255753,39.57281182589659,0.5700039957941826,40.83936829427184,3.996566871571091,76.73118687217797,5.0339501187927915
6,"Methane, fossil | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 70ef743b-3ed5-4a6d-b192-fb6d62378555","Methane, fossil","('air', 'non-urban air or from high stacks')",emission,kg CO2-Eq,biosphere3,70ef743b-3ed5-4a6d-b192-fb6d62378555,148.5047749343743,0.5861614924792264,698.6285851886726,24.41013747383221,,0.20144282238977138,64.10260929070867,2.1193152187680306,10.040821718545752,1.4715192167144653
7,"Methane, fossil | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 5f7aad3d-566c-4d0d-ad59-e765f971aa0f","Methane, fossil","('air', 'urban air close to ground')",emission,kg CO2-Eq,biosphere3,5f7aad3d-566c-4d0d-ad59-e765f971aa0f,,,,,100.07233512144774,,,,,
