,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,1.3142664732239764,0.0034732138863929605,7.753979890331272,1.1844815613499031,1.0220390054282609,0.023618753075170328,1.7138176304581452,0.047513333052003524,0.20292594644225728,0.03033831643687796
1,Rest (+),,,,,,,0.04795240706450543,6.727292655525673e-05,0.03757907404383776,0.03614715655544609,0.00012387301901584102,0.0003327730743719545,0.035722330188767915,0.0005300072518333865,0.0070152857596236795,0.0017513160515971807
3,"Methane, non-fossil | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 57bdb443-d4a6-423d-8024-959b8261d02e","Methane, non-fossil","('air', 'non-urban air or from high stacks')",emission,kg CO2-Eq,biosphere3,57bdb443-d4a6-423d-8024-959b8261d02e,1.266314066159471,0.0034059409598377038,7.716400816287434,1.148334404794457,0.7591547890401782,0.023285980000798373,1.6780953002693773,0.04698332580017014,0.1959106606826336,0.02858700038528078
4,"Methane, non-fossil | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | baf58fc9-573c-419c-8c16-831ac03203b9","Methane, non-fossil","('air', 'urban air close to ground')",emission,kg CO2-Eq,biosphere3,baf58fc9-573c-419c-8c16-831ac03203b9,,,,,0.26276034336906684,,,,,
