,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,5.4668051985017505e-06,2.9862371677268674e-08,4.613028815320688e-06,7.591506827777202e-08,7.680010647442748e-10
1,Rest (+),,,,,,,1.551357433088267e-07,1.4302088383063741e-09,1.9724344430646333e-07,1.2470016156568121e-08,1.2910772737009846e-10
3,"Benzo(a)pyrene | ('air',) | emission | kilogram | biosphere3 | 5e13c2ab-5466-4ff5-816d-702dfdf25f76",Benzo(a)pyrene,"('air',)",emission,CTUh,biosphere3,5e13c2ab-5466-4ff5-816d-702dfdf25f76,,,2.6472771920099907e-06,,
4,"Benzo(a)pyrene | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 81c4ba39-8a3f-4a43-97b4-401605bbebf5",Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,81c4ba39-8a3f-4a43-97b4-401605bbebf5,5.3116694551929255e-06,2.84321628389623e-08,5.092930631744681e-07,4.8351610329445395e-08,4.579678777838147e-10
5,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air',) | emission | kilogram | biosphere3 | 082903e4-45d8-4078-94cb-736b15279277","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",emission,CTUh,biosphere3,082903e4-45d8-4078-94cb-736b15279277,,,1.2592151158297669e-06,,
6,"Formaldehyde | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 20664d0e-24e3-4daa-8c5c-2ade6e0c2723",Formaldehyde,"('air', 'urban air close to ground')",emission,CTUh,biosphere3,20664d0e-24e3-4daa-8c5c-2ade6e0c2723,,,,9.60147695013266e-09,5.939827996668782e-11
7,"Formaldehyde | ('air',) | emission | kilogram | biosphere3 | a861cfae-a310-4e9d-b9eb-5d555c9a684c",Formaldehyde,"('air',)",emission,CTUh,biosphere3,a861cfae-a310-4e9d-b9eb-5d555c9a684c,,,,5.491964841625836e-09,1.2152717962367373e-10
