,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,15.812000725962136,0.057304387289929724,75.51304267976937,11.065510864830573,6.298146550022396,0.08325972382941206,10.093354045938218,0.4665616068301623,3.2088647263755923,0.2966527668070511
1,Rest (+),,,,,,,0.15178447243066806,0.005838676370060157,2.0069454507494697,0.6546767354854328,0.16909734047882274,0.007757174626000521,0.33115858341547266,0.015413244748538946,0.1919360605766296,0.004683561080964349
3,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,mol N-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,6.3739698426234215,0.025367620735068673,54.37495842878804,1.6156580041216235,1.846143795994659,0.021664821584304245,5.897047417042388,0.2805173066461597,0.5611415065642802,0.10658386590937503
4,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,mol N-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,6.843585707896948,0.026098090184800894,9.744185317206632,5.9372164063049295,0.901061149836972,0.05383772761910728,1.6270735365498092,0.09426868109268216,2.4557871592346823,0.13809818906419183
5,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,mol N-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,1.6068729508558948,,9.386953483025223,,3.381844263711943,,1.0807992785441887,0.07636237434278141,,0.028464568910271333
6,"Ammonia | ('air',) | emission | kilogram | biosphere3 | 87883a4e-1e3e-4c9d-90c0-f1bea36f8014",Ammonia,"('air',)",emission,mol N-Eq,biosphere3,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,0.8357877521552033,,,2.8579597189185857,,,,,,0.018822581842248533
7,"Ammonia | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 9990b51b-7023-4700-bca0-1a32ef921f74",Ammonia,"('air', 'urban air close to ground')",emission,mol N-Eq,biosphere3,9990b51b-7023-4700-bca0-1a32ef921f74,,,,,,,1.1572752303863572,,,
