,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,0.00013085718581428213,5.298942533168004e-07,0.0005500456852548292,5.106048133638048e-05,3.065073834477355e-05,1.6638713857715575e-07,4.628164761519206e-05,1.984961584606656e-06,1.628919382843624e-05,2.6062206018493303e-06
1,Rest (+),,,,,,,2.9448869360392492e-05,8.015360387225333e-08,7.49508369313105e-05,8.55918757459994e-06,4.200258454665219e-06,2.7156669857698098e-08,8.64097749605737e-06,2.2976894772177437e-07,1.0761551655470976e-06,2.839735457906593e-07
3,"Particulate Matter, < 2.5 um | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 230d8a0a-517c-43fe-8357-1818dd12997a","Particulate Matter, < 2.5 um","('air', 'urban air close to ground')",emission,disease incidence,biosphere3,230d8a0a-517c-43fe-8357-1818dd12997a,4.372240051414938e-05,1.4709752571244098e-07,0.0002714219483419023,6.723654604569779e-06,1.3342648294470966e-05,2.229695108430129e-08,2.3700577847285978e-05,8.883130534987965e-07,1.3286604982066019e-06,3.7585271400823704e-07
4,"Particulate Matter, < 2.5 um | ('air',) | emission | kilogram | biosphere3 | 21e46cb8-6233-4c99-bac3-c41d2ab99498","Particulate Matter, < 2.5 um","('air',)",emission,disease incidence,biosphere3,21e46cb8-6233-4c99-bac3-c41d2ab99498,5.768591593974028e-05,2.6493316544241867e-07,0.00011156927047165342,8.30811170824119e-06,2.8023858625467134e-06,3.07333801369891e-08,5.577605657987395e-06,2.403634918044008e-07,1.079728564976898e-05,3.834189081724978e-07
5,"Sulfur dioxide | ('air',) | emission | kilogram | biosphere3 | fd7aa71c-508c-480d-81a6-8052aad92646",Sulfur dioxide,"('air',)",emission,disease incidence,biosphere3,fd7aa71c-508c-480d-81a6-8052aad92646,,,4.689592209789021e-05,4.862530746627596e-06,,3.482998681345563e-08,2.6511864341403574e-06,,1.0737926437816025e-06,5.507743719772679e-07
6,"Sulfur dioxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 8c52f40c-69b7-4538-8923-b371523c71f5",Sulfur dioxide,"('air', 'urban air close to ground')",emission,disease incidence,biosphere3,8c52f40c-69b7-4538-8923-b371523c71f5,,,4.520770741207279e-05,,6.787554294245182e-06,8.858952334243768e-09,5.711300179720962e-06,3.4173735847587067e-07,,6.773787825930495e-07
7,"Sulfur dioxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 78c3efe4-421c-4d30-82e4-b97ac5124993",Sulfur dioxide,"('air', 'non-urban air or from high stacks')",emission,disease incidence,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,,,,1.3698666716531181e-05,,,,,,1.8906414694404618e-07
8,"Ammonia | ('air',) | emission | kilogram | biosphere3 | 87883a4e-1e3e-4c9d-90c0-f1bea36f8014",Ammonia,"('air',)",emission,disease incidence,biosphere3,87883a4e-1e3e-4c9d-90c0-f1bea36f8014,,,,4.455616364593259e-06,,,,,,
9,"Particulate Matter, > 2.5 um and < 10um | ('air',) | emission | kilogram | biosphere3 | b967e1bf-f09b-4c89-8740-ace21db47bba","Particulate Matter, > 2.5 um and < 10um","('air',)",emission,disease incidence,biosphere3,b967e1bf-f09b-4c89-8740-ace21db47bba,,3.7709958289687304e-08,,4.45271362121752e-06,,2.2290456432849132e-08,,,1.0909385355494598e-06,
10,"Particulate Matter, > 2.5 um and < 10um | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | ccb169c3-8aae-4727-89bb-a7dd122946f3","Particulate Matter, > 2.5 um and < 10um","('air', 'urban air close to ground')",emission,disease incidence,biosphere3,ccb169c3-8aae-4727-89bb-a7dd122946f3,,,,,3.517891438845475e-06,,,9.985549604177636e-08,,1.4575813236357214e-07
11,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,disease incidence,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,,,,,,2.0220741917618737e-08,,,9.223613355824988e-07,
12,"Particulate Matter, < 2.5 um | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 66f50b33-fd62-4fdd-a373-c5b0de7de00d","Particulate Matter, < 2.5 um","('air', 'non-urban air or from high stacks')",emission,disease incidence,biosphere3,66f50b33-fd62-4fdd-a373-c5b0de7de00d,,,,,,,,1.8492323706403692e-07,,
