,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,503.2435107903486,1.0215660090134062,1664.7274273600149,1526.267545844518,274.35807054612945,4.5482662630202375,351.48609590952265,5.159882481536348,239.84507453777837,77.99076359631708
1,Rest (+),,,,,,,10.373801301715503,0.028224891994150236,76.08055930324781,0.42692376230775153,4.499656130953667,0.012471012937963266,7.609592711051789,0.2536423929061842,0.07045579142561564,0.5584602307748554
3,"Water | ('air',) | emission | cubic meter | biosphere3 | 075e433b-4be4-448e-9510-9a5029c1ce94",Water,"('air',)",emission,m3 world eq. deprived,biosphere3,075e433b-4be4-448e-9510-9a5029c1ce94,492.8697094886331,0.9933411170192558,1588.6468680567673,1434.870291047818,269.85841441517584,4.277228002625135,343.87650319847086,4.906240088630164,227.7458203248578,77.43230336554223
4,"Water | ('air', 'non-urban air or from high stacks') | emission | cubic meter | biosphere3 | 09872080-d143-4fb1-a3a5-647b077107ff",Water,"('air', 'non-urban air or from high stacks')",emission,m3 world eq. deprived,biosphere3,09872080-d143-4fb1-a3a5-647b077107ff,,,,90.97033103439256,,0.25856724745713866,,,12.028798421494953,
