,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?",copper-rich materials | market for copper-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?,lithium | market for lithium | GLO | kilogram | ecoinvent 3;9 ?,manganese | market for manganese | GLO | kilogram | ecoinvent 3;9 ?,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | ecoinvent 3;9 ?,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | ecoinvent 3;9 ?"
0,Score,,,,,,,48.913505681287226,0.1845689857621984,116.77914232487858,79.68486358362482,21.147809263238944,0.808230654923712,52.41470859739286,2.3151184600260724,12.307547436090982,1.3757423894294183
1,Rest (+),,,,,,,1.272382783218461,0.004747943780268549,4.288218827947631,1.7477034595607392,0.5291168694339099,0.01798599856780425,1.2979374354938216,0.0564094756259399,0.30227199589344167,0.11075034870145495
3,"Radon-222 | ('air', 'low population density, long-term') | emission | kilo Becquerel | biosphere3 | 4ac6979b-55f2-42ae-8d7e-37846e92506c",Radon-222,"('air', 'low population density, long-term')",emission,kBq U235-Eq,biosphere3,4ac6979b-55f2-42ae-8d7e-37846e92506c,30.204658596698003,0.1141338495551495,73.2998907614121,36.7953300906406,13.362068755295935,0.4672567158708343,32.73024262718085,1.4799604467721534,5.716602356692657,0.6249991512088079
4,"Carbon-14 | ('air', 'non-urban air or from high stacks') | emission | kilo Becquerel | biosphere3 | 19256c0f-bea8-4e61-9499-8cc2f84953f8",Carbon-14,"('air', 'non-urban air or from high stacks')",emission,kBq U235-Eq,biosphere3,19256c0f-bea8-4e61-9499-8cc2f84953f8,17.436464301370755,0.06568719242678037,39.19103273551886,41.1418300334235,7.256623638509095,0.32298794048507357,18.386528534718185,0.7787485376279794,6.288673083504884,0.3618578679607319
5,"Uranium-234 | ('air', 'non-urban air or from high stacks') | emission | kilo Becquerel | biosphere3 | ac98d2a4-4985-49f9-b4e2-fc896ef145b6",Uranium-234,"('air', 'non-urban air or from high stacks')",emission,kBq U235-Eq,biosphere3,ac98d2a4-4985-49f9-b4e2-fc896ef145b6,,,,,,,,,,0.18952715161518355
6,"Thorium-230 | ('air', 'non-urban air or from high stacks') | emission | kilo Becquerel | biosphere3 | 4eb24f81-0468-4b92-bae3-8b12dfc90438",Thorium-230,"('air', 'non-urban air or from high stacks')",emission,kBq U235-Eq,biosphere3,4eb24f81-0468-4b92-bae3-8b12dfc90438,,,,,,,,,,0.08860786994323991
