,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.027749173209422637,12.194262297051242,56.47371847539436,7.519871533738292,0.12354622924172247,52.96862695977709,13.169029091092082,0.18915180781762814,8.899955314422753,2.9053601754946086
1,Rest (+),,,,,,,0.0007666831216509747,0.25137105869868037,2.580934282049874,0.12333093020888608,0.0003387547109625494,0.014816252607552372,0.2851064350750274,0.009298063924725042,0.0026144101417919785,0.02080410601554128
3,"Water | ('air',) | emission | cubic meter | biosphere3 | 075e433b-4be4-448e-9510-9a5029c1ce94",Water,"('air',)",emission,cubic meter,biosphere3,075e433b-4be4-448e-9510-9a5029c1ce94,0.026982490087771663,11.942891238352562,53.89278419334448,7.396540603529405,0.11618391729347363,49.79671446798957,12.883922656017054,0.1798537438929031,8.450987070899899,2.8845560694790673
4,"Water | ('air', 'non-urban air or from high stacks') | emission | cubic meter | biosphere3 | 09872080-d143-4fb1-a3a5-647b077107ff",Water,"('air', 'non-urban air or from high stacks')",emission,cubic meter,biosphere3,09872080-d143-4fb1-a3a5-647b077107ff,,,,,0.007023557237286287,3.157096239179971,,,0.44635383338106244,
