,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,6.462610032321548,1637.7725892140782,9873.78291539661,904.8210120368227,4.28560231958137,445.4359300859483,1170.9610419955002,42.5429075023186,218.20233561466438,34.848652269404354
1,Rest (+),,,,,,,0.4044053811324151,53.27671865968409,499.67996438136106,48.194356491402914,0.16720679705377606,46.75346274326142,56.4796932980355,1.457221142419634,16.11691078477682,2.0291419151514702
3,"Carbon dioxide, fossil | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | aa7cac3a-3625-41d4-bc54-33e2cf11ec46","Carbon dioxide, fossil","('air', 'non-urban air or from high stacks')",emission,kg CO2-Eq,biosphere3,aa7cac3a-3625-41d4-bc54-33e2cf11ec46,2.0024704394285435,435.0891890803263,5729.312543788636,188.0258252435541,2.4907173437748322,208.05244025249075,707.9771022833082,18.693996300723523,41.88360082931583,15.924076245129108
4,"Carbon dioxide, fossil | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | f9749677-9c9f-4678-ab55-c607dfdc2cb9","Carbon dioxide, fossil","('air', 'urban air close to ground')",emission,kg CO2-Eq,biosphere3,f9749677-9c9f-4678-ab55-c607dfdc2cb9,,160.57355892059618,1456.7526231010938,479.6983253071137,0.4411354907598094,80.62516132682364,216.1706031138815,12.068196447486317,18.57954321663972,5.996835091781308
5,"Methane, fossil | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 70ef743b-3ed5-4a6d-b192-fb6d62378555","Methane, fossil","('air', 'non-urban air or from high stacks')",emission,kg CO2-Eq,biosphere3,70ef743b-3ed5-4a6d-b192-fb6d62378555,0.8261336682690436,186.70983302313437,1229.6995799343965,,0.2839127099657248,43.95494032729615,124.61511960834352,4.0310266224069755,19.331951706398357,2.844278827274018
6,"Carbon dioxide, fossil | ('air',) | emission | kilogram | biosphere3 | 349b29d1-3e58-4c66-98b9-9d1a076efd2e","Carbon dioxide, fossil","('air',)",emission,kg CO2-Eq,biosphere3,349b29d1-3e58-4c66-98b9-9d1a076efd2e,3.229600543491547,802.1232895303372,958.3382041911248,46.58571518744788,0.6650046617598792,66.04992543607628,65.7185236919317,6.292466989282146,122.29032907753364,8.054320190068468
7,"Methane, fossil | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 5f7aad3d-566c-4d0d-ad59-e765f971aa0f","Methane, fossil","('air', 'urban air close to ground')",emission,kg CO2-Eq,biosphere3,5f7aad3d-566c-4d0d-ad59-e765f971aa0f,,,,142.31678980730422,,,,,,
8,"Carbon dioxide, non-fossil | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 73ed05cc-9727-4abf-9516-4b5c0fe54a16","Carbon dioxide, non-fossil","('air', 'urban air close to ground')",emission,kg CO2-Eq,biosphere3,73ed05cc-9727-4abf-9516-4b5c0fe54a16,,,,,0.23762531626734845,,,,,
