,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,16.910054316674426,2253.0710849672896,1936.8399037977217,37.89944476153515,1.7055447108602235,207.35598506517078,68.76301707785797,702.2332888945391,55.63345246430864,27.71545231619922
1,Rest (+),,,,,,,0.021946364771313398,11.22579760930239,41.82652210391302,1.780179994360381,0.11708131598024041,18.336441685035027,6.461427387566843,0.2830452117199229,4.378708043414335,0.6146452444045458
3,"Chromium VI | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | ef475b50-9cd0-4e7c-9c59-07868fe16e91",Chromium VI,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,ef475b50-9cd0-4e7c-9c59-07868fe16e91,12.85053219678544,1709.2140524900994,1471.166107327461,28.87287881008278,0.378433885781835,96.3823326572692,50.124492709661745,533.3321532437026,15.786368780107969,20.52120540125143
4,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,"kg 1,4-DCB-Eq",biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,4.037575755117673,532.631234867888,423.8472743663477,7.246385957091974,1.2100295090981477,25.552818955380786,12.177096980629363,168.61809043911643,,6.579601670543237
5,"Nickel II | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 9f69cb8e-51fe-447b-a1ac-4da74de8ebe4",Nickel II,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,9f69cb8e-51fe-447b-a1ac-4da74de8ebe4,,,,,,,,,35.46837564078632,
6,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,,,,33.88029083125455,,,,
7,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,,,19.82957806853002,,,,
8,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,"kg 1,4-DCB-Eq",biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,,,,13.37452286770122,,,,
