,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.017193703141178004,4.634988169136539,44.68265310455372,2.3716245005923646,0.024587713657348974,23.668647419268307,5.733172945458614,0.18944424255428113,0.918921464018698,0.5979711749877941
1,Rest (+),,,,,,,0.0008162519449378784,0.29480947140479685,2.7746657238843397,0.15487606011257693,0.001147533898806924,3.0436296560240805,0.7377335694554032,0.008234233974155292,0.04712310603697556,0.04678232294258722
3,"Sulfur dioxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 78c3efe4-421c-4d30-82e4-b97ac5124993",Sulfur dioxide,"('air', 'non-urban air or from high stacks')",emission,kg SO2-Eq,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,0.007291349292654742,1.7772643213541237,18.43822995659904,0.6978511439462762,0.0096249629191581,20.625017763244223,2.511400294739921,0.05392625649524732,0.18041915121123428,0.3055582205109857
4,"Sulfur dioxide | ('air',) | emission | kilogram | biosphere3 | fd7aa71c-508c-480d-81a6-8052aad92646",Sulfur dioxide,"('air',)",emission,kg SO2-Eq,biosphere3,fd7aa71c-508c-480d-81a6-8052aad92646,0.0024746306112968164,0.5522592587916357,8.541055015807723,,0.005079373089786461,,0.5332846289033826,,0.21391962879346127,0.11015487467356792
5,"Sulfur dioxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 8c52f40c-69b7-4538-8923-b371523c71f5",Sulfur dioxide,"('air', 'urban air close to ground')",emission,kg SO2-Eq,biosphere3,8c52f40c-69b7-4538-8923-b371523c71f5,0.0015373871880852174,0.8481775936227652,8.233584048929995,0.9988015046812283,0.001291930552005693,,1.1488247516949501,0.06725682072090933,0.07113028272279168,0.1354757568606533
6,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg SO2-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,0.0025010329952243346,0.5605875195415678,6.695118359332628,0.18365987230370728,0.0021359682953272655,,0.8019297006649575,0.03732384848913189,0.07557627579496685,
7,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg SO2-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,0.0025730511089790123,0.6018900044216499,,,0.005307944902264527,,,0.01254279107567401,0.3307530194592684,
8,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg SO2-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,,,,0.33643591954857555,,,,0.010160291799163272,,
