,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.0023465363469827023,0.7624382315799343,3.1433586889770937,0.1494904722809153,0.004631436351378063,1.5251025267745857,0.5953294403549946,0.01811167730371191,0.5138744139810014,0.045297859843124795
1,Rest (+),,,,,,,1.8018460047345558e-05,0.03468174445869643,0.004425311605525284,0.0015991120938831094,7.218622302940757e-06,0.016055587790922976,0.012105727635918218,2.676463813129637e-05,0.003106346060733123,0.002141560261221573
3,"Phosphate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 490b267b-f429-4d9a-ac79-224e37fb4d58",Phosphate,"('water', 'ground-, long-term')",emission,kg P-Eq,biosphere3,490b267b-f429-4d9a-ac79-224e37fb4d58,0.0020612180725385317,0.6621571108981935,2.8331472634152832,0.13214459368546205,0.0042421012966893865,1.4246523360512873,0.382519524054767,0.01641259841144079,0.4713150893122964,0.04315629958190322
4,"Phosphorus | ('water',) | emission | kilogram | biosphere3 | 2d4b8ec1-8d53-4e62-8a11-ebc45909b02e",Phosphorus,"('water',)",emission,kg P-Eq,biosphere3,2d4b8ec1-8d53-4e62-8a11-ebc45909b02e,,,,,,,0.16157108163285663,,,
5,"Phosphate | ('water', 'ground-') | emission | kilogram | biosphere3 | 329fc7d8-4011-4327-84e4-34ff76f0e42d",Phosphate,"('water', 'ground-')",emission,kg P-Eq,biosphere3,329fc7d8-4011-4327-84e4-34ff76f0e42d,0.0002672998143968247,0.06559937622304435,0.30578611395628474,0.015746766501570152,0.0003821164323857361,0.08439460293237547,0.03913310703145267,0.0016723142541398175,0.03945297860797196,
