,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.18465612171776738,43.603229508232374,149.66775231811948,21.73273609428228,0.7633416674777869,80.25823041754609,72.9464232553497,3.2135704608212263,13.3091029860134,1.4797515077754275
1,Rest (+),,,,,,,0.015290827902174897,3.6200229336078067,13.826111846168374,1.7252407716451401,0.026636719636951245,3.445800657517836,5.954696456730744,0.2497824621027469,0.5681640083023769,0.08549811995288814
3,"Radon-222 | ('air', 'low population density, long-term') | emission | kilo Becquerel | biosphere3 | 4ac6979b-55f2-42ae-8d7e-37846e92506c",Radon-222,"('air', 'low population density, long-term')",emission,kg Co-60-Eq,biosphere3,4ac6979b-55f2-42ae-8d7e-37846e92506c,0.16936529381559254,39.98320657462457,135.84164047195108,20.00749532263714,0.6933707333908286,69.76009922975351,66.99172679861896,2.963787998718479,11.58834313802057,1.2719281375068339
4,"Carbon-14 | ('air', 'non-urban air or from high stacks') | emission | kilo Becquerel | biosphere3 | 19256c0f-bea8-4e61-9499-8cc2f84953f8",Carbon-14,"('air', 'non-urban air or from high stacks')",emission,kg Co-60-Eq,biosphere3,19256c0f-bea8-4e61-9499-8cc2f84953f8,,,,,0.043334214450006875,7.0523305302747366,,,1.1525958396904536,
5,"Radon-222 | ('air', 'non-urban air or from high stacks') | emission | kilo Becquerel | biosphere3 | 1551f1cd-7cb7-4f68-a628-cb9301323c7b",Radon-222,"('air', 'non-urban air or from high stacks')",emission,kg Co-60-Eq,biosphere3,1551f1cd-7cb7-4f68-a628-cb9301323c7b,,,,,,,,,,0.12232525031570556
