,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,0.00014289398345817143,7.771782381979744e-07,0.0007795196713464664,4.005935106453002e-05,2.1392632102777162e-07
1,Rest (+),,,,,,,3.215770097041546e-05,1.1755861901263834e-07,0.00010621963472864958,5.489578296761817e-06,3.491571838846898e-08
3,"Particulate Matter, < 2.5 um | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 230d8a0a-517c-43fe-8357-1818dd12997a","Particulate Matter, < 2.5 um","('air', 'urban air close to ground')",emission,disease incidence,biosphere3,230d8a0a-517c-43fe-8357-1818dd12997a,4.774417191492527e-05,2.157430377115802e-07,0.0003846566815076014,1.7438334638026942e-05,2.8667508536958797e-08
4,"Particulate Matter, < 2.5 um | ('air',) | emission | kilogram | biosphere3 | 21e46cb8-6233-4c99-bac3-c41d2ab99498","Particulate Matter, < 2.5 um","('air',)",emission,disease incidence,biosphere3,21e46cb8-6233-4c99-bac3-c41d2ab99498,6.29921105728307e-05,3.885686426488809e-07,0.00015811494096192388,3.6626119026322572e-06,3.9514345890414553e-08
5,"Sulfur dioxide | ('air',) | emission | kilogram | biosphere3 | fd7aa71c-508c-480d-81a6-8052aad92646",Sulfur dioxide,"('air',)",emission,disease incidence,biosphere3,fd7aa71c-508c-480d-81a6-8052aad92646,,,6.646046821420077e-05,,4.4781411617300093e-08
6,"Sulfur dioxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 8c52f40c-69b7-4538-8923-b371523c71f5",Sulfur dioxide,"('air', 'urban air close to ground')",emission,disease incidence,biosphere3,8c52f40c-69b7-4538-8923-b371523c71f5,,,6.406794593409057e-05,8.871075707352095e-06,1.139008157259913e-08
7,"Particulate Matter, > 2.5 um and < 10um | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | ccb169c3-8aae-4727-89bb-a7dd122946f3","Particulate Matter, > 2.5 um and < 10um","('air', 'urban air close to ground')",emission,disease incidence,biosphere3,ccb169c3-8aae-4727-89bb-a7dd122946f3,,,,4.597750519756907e-06,
8,"Particulate Matter, > 2.5 um and < 10um | ('air',) | emission | kilogram | biosphere3 | b967e1bf-f09b-4c89-8740-ace21db47bba","Particulate Matter, > 2.5 um and < 10um","('air',)",emission,disease incidence,biosphere3,b967e1bf-f09b-4c89-8740-ace21db47bba,,5.530793882487477e-08,,,2.8659158270806028e-08
9,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,disease incidence,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,,,,,2.5998096751224088e-08
