,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,8.293018392046056e-07,0.00024389609658332165,0.0013792479633658473,0.00011256624034765368,1.9342796866850913e-06,0.0003268413110409725,0.0002650852922239799,6.5776924887158525e-06,0.00019029619684470282,6.190381917651387e-06
1,Rest (+),,,,,,,2.823898489074468e-08,7.25635666625488e-06,7.511596574055887e-05,4.147310632990968e-06,5.5039915525765584e-08,6.384783281909018e-06,6.2467586191115474e-06,1.3915547607174383e-07,2.1197244628863533e-06,1.9899070133038622e-07
3,"Dinitrogen monoxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | afd6d670-bbb0-4625-9730-04088a5b035e",Dinitrogen monoxide,"('air', 'non-urban air or from high stacks')",emission,kg CFC-11-Eq,biosphere3,afd6d670-bbb0-4625-9730-04088a5b035e,3.2501051398884874e-07,8.383212186889747e-05,0.0007181659935377413,2.3877864111610735e-05,4.314893360915714e-07,3.0002733479634097e-05,8.696606215700904e-05,2.4647164655042622e-06,0.00010391852751824622,1.949196893226196e-06
4,"Dinitrogen monoxide | ('air',) | emission | kilogram | biosphere3 | 20185046-64bb-4c09-a8e7-e8a9e144ca98",Dinitrogen monoxide,"('air',)",emission,kg CFC-11-Eq,biosphere3,20185046-64bb-4c09-a8e7-e8a9e144ca98,2.6955996274292133e-07,7.212202835075853e-05,0.0003739313864340241,5.038799811447014e-05,1.0524421372721419e-06,9.591348960480199e-05,6.809236466732621e-05,2.1103833860355955e-06,3.052555295824301e-05,1.7909082002443647e-06
5,"Dinitrogen monoxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 6dc1b46f-ee89-4495-95c4-b8a637bcd6cb",Dinitrogen monoxide,"('air', 'urban air close to ground')",emission,kg CFC-11-Eq,biosphere3,6dc1b46f-ee89-4495-95c4-b8a637bcd6cb,2.0649237758209108e-07,8.068558969741077e-05,0.00021203461765352305,3.415306748858183e-05,3.95308297795612e-07,0.0001945403046746275,6.909813978659549e-05,1.8634371611042505e-06,5.373239190532722e-05,1.8175190107429056e-06
6,"Methane, tetrachloro-, R-10 | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 5c97dd6c-aaa5-4477-aaf8-dbd0674499c4","Methane, tetrachloro-, R-10","('air', 'urban air close to ground')",emission,kg CFC-11-Eq,biosphere3,5c97dd6c-aaa5-4477-aaf8-dbd0674499c4,,,,,,,3.468196699393764e-05,,,4.3376711210753497e-07
