,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.0020113168688423145,0.7325953210004168,2.157384308837515,0.1269865302171216,0.003969802586895485,1.0231700496082665,0.3699547236491751,0.01150336261181702,0.32243100485082443,0.028311162401952986
1,Rest (+),,,,,,,1.544439432629675e-05,0.033324251935692106,0.003037228253000901,0.001358385542115731,6.187390545378535e-06,0.010771470290112939,0.007522845030892011,1.69991620563633e-05,0.0019490798812442645,0.0013384751632634848
3,"Phosphate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 490b267b-f429-4d9a-ac79-224e37fb4d58",Phosphate,"('water', 'ground-, long-term')",emission,kg P-Eq,biosphere3,490b267b-f429-4d9a-ac79-224e37fb4d58,0.0017667583478901687,0.6362393451938451,1.9444766110058842,0.11225185915216672,0.003636086825733762,0.9557794153255472,0.23770856137689092,0.01042421790996915,0.2957271148626174,0.026972687238689504
4,"Phosphorus | ('water',) | emission | kilogram | biosphere3 | 2d4b8ec1-8d53-4e62-8a11-ebc45909b02e",Phosphorus,"('water',)",emission,kg P-Eq,biosphere3,2d4b8ec1-8d53-4e62-8a11-ebc45909b02e,,,,,,,0.10040488644327515,,,
5,"Phosphate | ('water', 'ground-') | emission | kilogram | biosphere3 | 329fc7d8-4011-4327-84e4-34ff76f0e42d",Phosphate,"('water', 'ground-')",emission,kg P-Eq,biosphere3,329fc7d8-4011-4327-84e4-34ff76f0e42d,0.0002291141266258495,0.06303172387087971,0.2098704695786299,0.01337628552283917,0.0003275283706163454,0.05661916399260633,0.024318430798117012,0.0010621455397915056,0.024754810106962802,
