,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,14.49433227143522,2164.8826965405383,1329.313142606493,32.19415200173417,1.461895466451622,139.11224314498804,42.731303469811714,446.01303483842344,34.90726429133091,17.322157697624508
1,Rest (+),,,,,,,0.018811169803983674,10.786404016008873,28.706836033908303,1.5121959091878594,0.10035541369734946,12.301663408947562,4.0153155908451055,0.1797719587951292,2.7474246546913434,0.3841532777528407
3,"Chromium VI | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | ef475b50-9cd0-4e7c-9c59-07868fe16e91",Chromium VI,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,ef475b50-9cd0-4e7c-9c59-07868fe16e91,11.014741882958948,1642.312997405259,1009.7068103528037,24.526423935446672,0.3243719020987159,64.66156494728189,31.14879189814693,338.73798922235164,9.905172567910885,12.82575337578214
4,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,"kg 1,4-DCB-Eq",biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,3.46077921867229,511.78329511927103,290.89949621978104,6.155532157099634,1.0371681506555566,17.14303043842002,7.5671959808196725,107.09527365727668,,4.112251044089523
5,"Nickel II | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | e8fc62ba-678e-4706-97d2-b79d83e227d5",Nickel II,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,e8fc62ba-678e-4706-97d2-b79d83e227d5,,,,,,22.729815367803695,,,,
6,"Nickel II | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | 9f69cb8e-51fe-447b-a1ac-4da74de8ebe4",Nickel II,"('water', 'ground-, long-term')",emission,"kg 1,4-DCB-Eq",biosphere3,9f69cb8e-51fe-447b-a1ac-4da74de8ebe4,,,,,,,,,22.254667068728683,
7,"Arsenic ion | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 7348af7c-e102-4a03-a0df-efce16469eed",Arsenic ion,"('air', 'non-urban air or from high stacks')",emission,"kg 1,4-DCB-Eq",biosphere3,7348af7c-e102-4a03-a0df-efce16469eed,,,,,,13.303387818127737,,,,
8,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,"kg 1,4-DCB-Eq",biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,,,,8.97278116440715,,,,
