,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.00017116878417983248,0.11552941042794633,0.16262265215882582,0.01269364427183057,0.000257724644241551,0.05859689816238053,0.339711047786241,0.0007355441645503677,0.016420086244776283,0.0009228128175999767
1,Rest (+),,,,,,,1.6845423883005362e-05,0.009297359443803555,0.014883040802092212,0.0019894398843840876,7.143734210827884e-05,0.0059283268602129055,0.024817216404852682,0.00011694402114264743,0.0013630761704509012,0.00010721533443003295
3,"Ammonium | ('water',) | emission | kilogram | biosphere3 | fb005c47-7b90-41f3-a5ca-f0eb11db354a",Ammonium,"('water',)",emission,kg N-Eq,biosphere3,fb005c47-7b90-41f3-a5ca-f0eb11db354a,,,,,,,0.28077075656727796,,,0.00010419213118618324
4,"Nitrate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | b61057a3-a0bc-4158-882e-b819c4797419",Nitrate,"('water', 'ground-, long-term')",emission,kg N-Eq,biosphere3,b61057a3-a0bc-4158-882e-b819c4797419,0.00011569053085501019,0.031230590377256614,0.13078778709540265,0.006794331277962576,0.00013280339384399837,0.009341909472780751,0.03412307481411045,0.0005760818218472138,0.0017840549954627476,0.00025474397629429886
5,"Nitrogen | ('water', 'surface water') | emission | kilogram | biosphere3 | ae70ca6c-807a-482b-9ddc-e449b4893fe3",Nitrogen,"('water', 'surface water')",emission,kg N-Eq,biosphere3,ae70ca6c-807a-482b-9ddc-e449b4893fe3,2.077881485134862e-05,0.05291434664649987,,0.001669080802686743,,0.016624908356544198,,,0.0027694494004533925,0.00010888432492207931
6,"Nitrate | ('water', 'surface water') | emission | kilogram | biosphere3 | 7ce56135-2ca5-4fba-ad52-d62a34bfeb35",Nitrate,"('water', 'surface water')",emission,kg N-Eq,biosphere3,7ce56135-2ca5-4fba-ad52-d62a34bfeb35,8.974338160077676e-06,0.022087113960386283,0.00877413494621633,0.0008470221885101272,2.1038450470411513e-05,0.00964684130271009,,,0.0023472209720705526,
7,"Nitrogen | ('water', 'ocean') | emission | kilogram | biosphere3 | 996829cc-2d40-418a-beda-7c50399952f9",Nitrogen,"('water', 'ocean')",emission,kg N-Eq,biosphere3,996829cc-2d40-418a-beda-7c50399952f9,,,,,,0.010859833190461134,,,0.0016704097997621839,
8,"Nitrogen, organic bound | ('water', 'surface water') | emission | kilogram | biosphere3 | d43f7827-b47b-4652-8366-f370995fd206","Nitrogen, organic bound","('water', 'surface water')",emission,kg N-Eq,biosphere3,d43f7827-b47b-4652-8366-f370995fd206,,,,,,0.006195078979671456,,,,
9,"Ammonium | ('water', 'ocean') | emission | kilogram | biosphere3 | bc069d24-fbbd-4c05-8b6e-4089dc8249ae",Ammonium,"('water', 'ocean')",emission,kg N-Eq,biosphere3,bc069d24-fbbd-4c05-8b6e-4089dc8249ae,,,0.008177689315114573,0.0006762426589406185,,,,4.251832156050644e-05,,7.922795548068113e-05
10,"Ammonium | ('water', 'surface water') | emission | kilogram | biosphere3 | 13331e67-6006-48c4-bdb4-340c12010036",Ammonium,"('water', 'surface water')",emission,kg N-Eq,biosphere3,13331e67-6006-48c4-bdb4-340c12010036,8.879676430390622e-06,,,0.0007175274593464197,3.24454578188622e-05,,,,0.0053211619633171635,7.13939327455413e-05
11,"Nitrate | ('water', 'ground-') | emission | kilogram | biosphere3 | b9291c72-4b1d-4275-8068-4c707dc3ce33",Nitrate,"('water', 'ground-')",emission,kg N-Eq,biosphere3,b9291c72-4b1d-4275-8068-4c707dc3ce33,,,,,,,,,0.0011647129432593402,0.00019715516254115986
