,index,name,categories,type,unit,database,code,cast iron | market for cast iron | GLO | kilogram | test,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | test","aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | test","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | test",zinc | market for zinc | GLO | kilogram | test,copper-rich materials | market for copper-rich materials | GLO | kilogram | test,lithium | market for lithium | GLO | kilogram | test,manganese | market for manganese | GLO | kilogram | test,nickel-rich materials | market for nickel-rich materials | GLO | kilogram | test,"phosphoric acid, industrial grade, without water, in 85% solution state | market for phosphoric acid, industrial grade, without water, in 85% solution state | GLO | kilogram | test"
0,Score,,,,,,,0.014737459835295426,4.453568177667809,30.66708709478002,2.0146057585677077,0.021075183134870567,15.878965990142028,3.562757473249282,0.12032269459528666,0.5765781735019281,0.37373198436737126
1,Rest (+),,,,,,,0.0006996445242324675,0.28327021179172984,1.9043389212846407,0.1315613843967054,0.000983600484691656,2.0419287565731175,0.45844871816157173,0.0052298513079094555,0.02956743908202386,0.0292389518391169
3,"Sulfur dioxide | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 78c3efe4-421c-4d30-82e4-b97ac5124993",Sulfur dioxide,"('air', 'non-urban air or from high stacks')",emission,kg SO2-Eq,biosphere3,78c3efe4-421c-4d30-82e4-b97ac5124993,0.0062497279651326345,1.7076996825132418,12.654727610500345,0.5927982835672669,0.008249968216421237,13.837037233568909,1.5606558974455222,0.03425046020644086,0.1132041733090097,0.19097388781936603
4,"Sulfur dioxide | ('air',) | emission | kilogram | biosphere3 | fd7aa71c-508c-480d-81a6-8052aad92646",Sulfur dioxide,"('air',)",emission,kg SO2-Eq,biosphere3,fd7aa71c-508c-480d-81a6-8052aad92646,0.0021211119525401272,0.5306430504298418,5.861990277036377,,0.004353748362674114,,0.33139830510424495,,0.13422408081158352,0.06884679667097995
5,"Sulfur dioxide | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | 8c52f40c-69b7-4538-8923-b371523c71f5",Sulfur dioxide,"('air', 'urban air close to ground')",emission,kg SO2-Eq,biosphere3,8c52f40c-69b7-4538-8923-b371523c71f5,0.0013177604469301854,0.8149787231653085,5.65096344077641,0.848444288922764,0.0011073690445763092,,0.7139125242675762,0.04271716991733431,0.044630765629986933,0.08467234803790834
6,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg SO2-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,0.002143742567335144,0.5386453312766828,4.595066845182249,0.15601214959132131,0.0018308299674233714,,0.4983420282703664,0.023705687553908093,0.047420408341939994,
7,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg SO2-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,0.002205472379124866,0.5783311784910043,,,0.004549667059083884,,,0.007966367304819977,0.20753130632738412,
8,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg SO2-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,,,,0.2857896520896501,,,,0.006453158304873969,,
