,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,1.6905978330353968,0.005511308144435112,4.3517171043641465,0.5342068959271645,0.007022882968436
1,Rest (+),,,,,,,0.09658437793886265,0.0004220818802565113,0.06310611114868969,0.034753337960638286,0.0005551268105579276
3,"Nitrogen oxides | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 77357947-ccc5-438e-9996-95e65e1e1bce",Nitrogen oxides,"('air', 'non-urban air or from high stacks')",emission,kg N-Eq,biosphere3,77357947-ccc5-438e-9996-95e65e1e1bce,0.566739565464184,0.0023164328402496804,2.9770530200320473,0.1504414560730907,0.0017427999058942276
4,"Nitrogen oxides | ('air',) | emission | kilogram | biosphere3 | c1b91234-6f24-417b-8309-46111d09c457",Nitrogen oxides,"('air',)",emission,kg N-Eq,biosphere3,c1b91234-6f24-417b-8309-46111d09c457,0.6084953154899265,0.0023831353284266524,0.5334984552555272,0.07342708172920655,0.004330909731382978
5,"Nitrogen oxides | ('air', 'urban air close to ground') | emission | kilogram | biosphere3 | d068f3e2-b033-417b-a359-ca4f25da9731",Nitrogen oxides,"('air', 'urban air close to ground')",emission,kg N-Eq,biosphere3,d068f3e2-b033-417b-a359-ca4f25da9731,0.1428746135311805,,0.5139398543566567,0.275585020164229,
6,"Nitrogen | ('water', 'surface water') | emission | kilogram | biosphere3 | ae70ca6c-807a-482b-9ddc-e449b4893fe3",Nitrogen,"('water', 'surface water')",emission,kg N-Eq,biosphere3,ae70ca6c-807a-482b-9ddc-e449b4893fe3,0.17348045528050005,,,,
7,"Nitrate | ('water', 'ground-, long-term') | emission | kilogram | biosphere3 | b61057a3-a0bc-4158-882e-b819c4797419",Nitrate,"('water', 'ground-, long-term')",emission,kg N-Eq,biosphere3,b61057a3-a0bc-4158-882e-b819c4797419,0.10242350533074276,0.000389658095502268,0.26411966357122596,,0.0003940465206008675
