,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,15508.179292831715,60.70304611394225,37707.767888556846,21183.442045085972,45.41162758254266
1,Rest (+),,,,,,,1310.608772819107,5.060314053129005,3021.9890063656785,892.839541456633,0.22255645745794084
3,"Coal, hard, unspecified | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | b6d0042d-0ef8-49ed-9162-a07ff1ccf750","Coal, hard, unspecified","('natural resource', 'in ground')",natural resource,"MJ, net calorific value",biosphere3,b6d0042d-0ef8-49ed-9162-a07ff1ccf750,9727.194252220652,37.54350359445123,23609.36635588375,1626.9951727129724,9.647604093771573
4,"Oil, crude | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 88d06db9-59a1-4719-9174-afeb1fa4026a","Oil, crude","('natural resource', 'in ground')",natural resource,"MJ, net calorific value",biosphere3,88d06db9-59a1-4719-9174-afeb1fa4026a,2566.1595592060157,8.992070437076105,5559.594694503235,12028.034693886595,7.216103581514671
5,"Gas, natural | ('natural resource', 'in ground') | natural resource | standard cubic meter | biosphere3 | 7c337428-fb1b-45c7-bbb2-2ee4d29e17ba","Gas, natural","('natural resource', 'in ground')",natural resource,"MJ, net calorific value",biosphere3,7c337428-fb1b-45c7-bbb2-2ee4d29e17ba,1904.2167085859426,9.107158029285909,5516.817831804186,6635.572637029767,13.640791679789709
6,"Uranium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 2ba5e39b-adb6-4767-a51d-90c1cf32fe98",Uranium,"('natural resource', 'in ground')",natural resource,"MJ, net calorific value",biosphere3,2ba5e39b-adb6-4767-a51d-90c1cf32fe98,,,,,10.609507478175729
7,"Coal, brown | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 024c9722-1e88-412b-8c4b-10c532be8dca","Coal, brown","('natural resource', 'in ground')",natural resource,"MJ, net calorific value",biosphere3,024c9722-1e88-412b-8c4b-10c532be8dca,,,,,4.075064291833038
