,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,1.1998235236616272e-05,7.46151152274415e-08,5.339508518536771e-06,2.1063178403590304e-07,1.7054050332676516e-08
1,Rest (+),,,,,,,6.284483112087041e-07,1.8929308099647605e-09,7.227612931540568e-07,5.256544830337073e-08,2.1969648138010702e-09
3,"Chromium VI | ('water', 'surface water') | emission | kilogram | biosphere3 | 8216fc31-15a1-4d33-858f-e09650b14c63",Chromium VI,"('water', 'surface water')",emission,CTUh,biosphere3,8216fc31-15a1-4d33-858f-e09650b14c63,6.63338853034384e-06,4.606697258569376e-08,2.321701603593622e-06,7.312121653912396e-08,1.2162346826767225e-08
4,"Benzo(a)pyrene | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 81c4ba39-8a3f-4a43-97b4-401605bbebf5",Benzo(a)pyrene,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,81c4ba39-8a3f-4a43-97b4-401605bbebf5,4.736398395063729e-06,1.938556557201974e-08,,3.301490099976654e-08,
5,"Benzo(a)pyrene | ('air',) | emission | kilogram | biosphere3 | 5e13c2ab-5466-4ff5-816d-702dfdf25f76",Benzo(a)pyrene,"('air',)",emission,CTUh,biosphere3,5e13c2ab-5466-4ff5-816d-702dfdf25f76,,,1.1200018889273028e-06,,
6,"Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin | ('air',) | emission | kilogram | biosphere3 | 082903e4-45d8-4078-94cb-736b15279277","Dioxins, measured as 2,3,7,8-tetrachlorodibenzo-p-dioxin","('air',)",emission,CTUh,biosphere3,082903e4-45d8-4078-94cb-736b15279277,,,5.327448566972085e-07,,
7,"Arsenic ion | ('water', 'surface water') | emission | kilogram | biosphere3 | 8c8ffaa5-84ed-4668-ba7d-80fd0f47013f",Arsenic ion,"('water', 'surface water')",emission,CTUh,biosphere3,8c8ffaa5-84ed-4668-ba7d-80fd0f47013f,,,6.42298876164581e-07,1.7035677560287496e-08,2.6947386921082194e-09
8,"Chromium III | ('air', 'non-urban air or from high stacks') | emission | kilogram | biosphere3 | 4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5",Chromium III,"('air', 'non-urban air or from high stacks')",emission,CTUh,biosphere3,4d40d8e3-9bc7-4ab1-ac5c-4f4a76fda8e5,,,,3.489454063335432e-08,
9,"Mercury II | ('air',) | emission | kilogram | biosphere3 | 71234253-b3a7-4dfe-b166-a484ad15bee7",Mercury II,"('air',)",emission,CTUh,biosphere3,71234253-b3a7-4dfe-b166-a484ad15bee7,,7.269646259763213e-09,,,
