,index,name,categories,type,unit,database,code,"steel, low-alloyed | market for steel, low-alloyed | GLO | kilogram | ecoinvent 3;9 ?",cast iron | market for cast iron | GLO | kilogram | ecoinvent 3;9 ?,"aluminium, wrought alloy | market for aluminium, wrought alloy | GLO | kilogram | ecoinvent 3;9 ?","polyethylene, high density, granulate | market for polyethylene, high density, granulate | GLO | kilogram | ecoinvent 3;9 ?",zinc | market for zinc | GLO | kilogram | ecoinvent 3;9 ?
0,Score,,,,,,,0.010629548757376872,7.038594148229947e-06,0.011871173287015525,0.002626353298045569,0.0016799024135594537
1,Rest (+),,,,,,,0.0020099488137723543,1.1880697846584726e-06,0.0027959179980839403,0.0003797301298934302,0.00014683204682948772
3,"Tellurium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 7b6da1f2-e191-5a77-ae06-af96201f5803",Tellurium,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,7b6da1f2-e191-5a77-ae06-af96201f5803,0.005675570948532097,3.125501724282414e-06,0.007334596330459883,0.0011561538151446849,
4,"Copper | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | a9ac40a0-9bea-4c48-afa7-66aa6eb90624",Copper,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,a9ac40a0-9bea-4c48-afa7-66aa6eb90624,0.0014503989371992105,7.51110691107102e-07,0.0017406589584717034,0.0002770774368843932,
5,"Molybdenum | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | e5a3dff5-72dc-5287-893c-597dd4a19566",Molybdenum,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,e5a3dff5-72dc-5287-893c-597dd4a19566,0.0008094795388955217,,,,
6,"Nickel | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 974213ef-1ba0-40e5-bc7b-52ef099e9e09",Nickel,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,974213ef-1ba0-40e5-bc7b-52ef099e9e09,0.000684150518977686,,,,
7,"Lead | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | fbcb9c7a-eea7-4694-ba6c-568e01d28883",Lead,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,fbcb9c7a-eea7-4694-ba6c-568e01d28883,,4.187866213495199e-07,,,0.0008367518963657837
8,"Gold | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | d080e6a4-42c6-484e-b5d7-d74693aec7d9",Gold,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,d080e6a4-42c6-484e-b5d7-d74693aec7d9,,5.346491892130286e-07,,0.0006505979748825133,
9,"Zinc | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | be73218b-18af-492e-96e6-addd309d1e32",Zinc,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,be73218b-18af-492e-96e6-addd309d1e32,,,,,0.0003296043764383553
10,"Silver | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | 361a64cb-ab76-4a72-9ea1-c07d6a20c124",Silver,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,361a64cb-ab76-4a72-9ea1-c07d6a20c124,,4.3324040436141045e-07,,0.0001627939412405473,0.0003667140939258271
11,"Chromium | ('natural resource', 'in ground') | natural resource | kilogram | biosphere3 | e189e2d4-3d3f-4ada-b302-91611784311f",Chromium,"('natural resource', 'in ground')",natural resource,kg Sb-Eq,biosphere3,e189e2d4-3d3f-4ada-b302-91611784311f,,5.872357332579985e-07,,,
